station,hour,avg_dropoff_count
"Aintree Street, Fulham",10,1.2941176470588236
"Aintree Street, Fulham",11,1.5820895522388059
"Aintree Street, Fulham",12,1.6022099447513811
"Aintree Street, Fulham",13,1.6203208556149733
"Aintree Street, Fulham",14,1.6411764705882352
"Aintree Street, Fulham",15,1.800995024875622
"Aintree Street, Fulham",16,2.2612244897959184
"Aintree Street, Fulham",17,3.3240418118466897
"Aintree Street, Fulham",18,4.222602739726027
"Aintree Street, Fulham",19,3.545138888888889
"Aintree Street, Fulham",20,2.376
"Aintree Street, Fulham",21,2.2242990654205608
"Aintree Street, Fulham",22,2.1295336787564767
"Aintree Street, Fulham",23,1.7891566265060241
"Albany Street, The Regent's Park",0,1.2727272727272727
"Albany Street, The Regent's Park",1,1.3409090909090908
"Albany Street, The Regent's Park",2,1.1304347826086956
"Albany Street, The Regent's Park",3,1.0434782608695652
"Albany Street, The Regent's Park",4,1.0714285714285714
"Albany Street, The Regent's Park",5,1.026143790849673
"Albany Street, The Regent's Park",6,1.127906976744186
"Albany Street, The Regent's Park",7,1.1857142857142857
"Albany Street, The Regent's Park",8,1.6231884057971016
"Albany Street, The Regent's Park",9,1.601123595505618
"Albany Street, The Regent's Park",10,1.6540880503144655
"Albany Street, The Regent's Park",11,2.016304347826087
"Albany Street, The Regent's Park",12,2.0401785714285716
"Albany Street, The Regent's Park",13,2.3347457627118646
"Albany Street, The Regent's Park",14,2.3175965665236054
"Albany Street, The Regent's Park",15,2.304932735426009
"Albany Street, The Regent's Park",16,2.38671875
"Albany Street, The Regent's Park",17,2.7804054054054053
"Albany Street, The Regent's Park",18,3.439189189189189
"Albany Street, The Regent's Park",19,2.906574394463668
"Albany Street, The Regent's Park",20,2.037344398340249
"Albany Street, The Regent's Park",21,1.7628865979381443
"Albany Street, The Regent's Park",22,1.7878787878787878
"Albany Street, The Regent's Park",23,1.4104477611940298
"Albert Bridge Road, Battersea Park",0,1.2878787878787878
"Albert Bridge Road, Battersea Park",1,1.1764705882352942
"Albert Bridge Road, Battersea Park",2,1.3333333333333333
"Albert Bridge Road, Battersea Park",3,1.1818181818181819
"Albert Bridge Road, Battersea Park",4,1.1428571428571428
"Albert Bridge Road, Battersea Park",5,1.0
"Albert Bridge Road, Battersea Park",6,1.0666666666666667
"Albert Bridge Road, Battersea Park",7,1.347457627118644
"Albert Bridge Road, Battersea Park",8,2.042016806722689
"Albert Bridge Road, Battersea Park",9,1.6344086021505377
"Albert Bridge Road, Battersea Park",10,1.8181818181818181
"Albert Bridge Road, Battersea Park",11,1.9268292682926829
"Albert Bridge Road, Battersea Park",12,2.034632034632035
"Albert Bridge Road, Battersea Park",13,2.4008620689655173
"Albert Bridge Road, Battersea Park",14,2.189516129032258
"Albert Bridge Road, Battersea Park",15,2.59765625
"Albert Bridge Road, Battersea Park",16,2.7
"Albert Bridge Road, Battersea Park",17,3.8096774193548386
"Albert Bridge Road, Battersea Park",18,4.938511326860842
"Albert Bridge Road, Battersea Park",19,3.7416107382550337
"Albert Bridge Road, Battersea Park",20,2.4081632653061225
"Albert Bridge Road, Battersea Park",21,1.962962962962963
"Albert Bridge Road, Battersea Park",22,1.811764705882353
"Albert Bridge Road, Battersea Park",23,1.6111111111111112
"Albert Embankment, Vauxhall",0,1.3962264150943395
"Albert Embankment, Vauxhall",1,1.2666666666666666
"Albert Embankment, Vauxhall",2,1.1764705882352942
"Albert Embankment, Vauxhall",3,1.0
"Albert Embankment, Vauxhall",4,1.25
"Albert Embankment, Vauxhall",5,1.0
"Albert Embankment, Vauxhall",6,1.1549295774647887
"Albert Embankment, Vauxhall",7,1.6666666666666667
"Albert Embankment, Vauxhall",8,2.6358024691358026
"Albert Embankment, Vauxhall",9,2.8533333333333335
"Albert Embankment, Vauxhall",10,1.6
"Albert Embankment, Vauxhall",11,1.5714285714285714
"Albert Embankment, Vauxhall",12,1.7226277372262773
"Albert Embankment, Vauxhall",13,1.9285714285714286
"Albert Embankment, Vauxhall",14,1.9923664122137406
"Albert Embankment, Vauxhall",15,1.7661290322580645
"Albert Embankment, Vauxhall",16,1.8396946564885497
"Albert Embankment, Vauxhall",17,2.505434782608696
"Albert Embankment, Vauxhall",18,2.189873417721519
"Albert Embankment, Vauxhall",19,2.433333333333333
"Albert Embankment, Vauxhall",20,1.858267716535433
"Albert Embankment, Vauxhall",21,1.6185567010309279
"Albert Embankment, Vauxhall",22,1.6623376623376624
"Albert Embankment, Vauxhall",23,1.5238095238095237
"Albert Embankment, Vauxhall_OLD",0,1.6538461538461537
"Albert Embankment, Vauxhall_OLD",1,1.105263157894737
"Albert Embankment, Vauxhall_OLD",2,1.375
"Albert Embankment, Vauxhall_OLD",3,1.3333333333333333
"Albert Embankment, Vauxhall_OLD",4,1.125
"Albert Embankment, Vauxhall_OLD",5,1.0
"Albert Embankment, Vauxhall_OLD",6,1.3773584905660377
"Albert Embankment, Vauxhall_OLD",7,1.6825396825396826
"Albert Embankment, Vauxhall_OLD",8,2.5319148936170213
"Albert Embankment, Vauxhall_OLD",9,2.8048780487804876
"Albert Embankment, Vauxhall_OLD",10,1.6065573770491803
"Albert Embankment, Vauxhall_OLD",11,1.3181818181818181
"Albert Embankment, Vauxhall_OLD",12,1.5806451612903225
"Albert Embankment, Vauxhall_OLD",13,1.6142857142857143
"Albert Embankment, Vauxhall_OLD",14,1.676056338028169
"Albert Embankment, Vauxhall_OLD",15,1.7241379310344827
