station,latitude,longitude
"Bow Church Station, Bow",51.5278468,-0.0209184
"Bow Road Station, Bow",51.52695929999999,-0.024766
"Braham Street, Aldgate",51.5141253,-0.0730662
"Bramham Gardens, Earl's Court",51.4910308,-0.1902836
"Brandon Street, Walworth",51.490644,-0.092672
"Breams Buildings, Holborn",51.5160706,-0.1105567
"Brick Lane Market, Shoreditch",51.5234531,-0.07205149999999999
"Bricklayers Arms, Borough",51.4944187,-0.0849944
"Bridge Avenue, Hammersmith",51.4919025,-0.2292894
"British Museum, Bloomsbury",51.5194133,-0.1269566
"Broadcasting House, Marylebone",51.5188898,-0.1439006
"Broadley Terrace, Marylebone",51.5241481,-0.1663969
"Broadwick Street, Soho",51.5134222,-0.1364803
"Bromley High Street, Bow",51.5282386,-0.0177832
"Brook Green South, Brook Green",51.496182,-0.2198333
"Broomhouse Lane, Parsons Green",51.4681817,-0.1990001
"Brunswick Square, Bloomsbury",51.5242356,-0.1225832
"Brushfield Street, Liverpool Street",51.51875159999999,-0.0814374
"Bruton Street, Mayfair",51.510636,-0.1444704
"Buckingham Gate, Westminster",51.4993693,-0.1390189
"Bunhill Row, Moorgate",51.5186852,-0.0890021
"Burdett Road, Mile End",51.5217645,-0.0336929
"Burgess Park Albany Road, Walworth",51.4832499,-0.0821175
"Bury Place, Holborn",51.5180399,-0.1238914
"Butler Place, Westminster",51.497948,-0.1354039
"Buxton Street 1, Shoreditch",51.5220529,-0.07137929999999999
"Cadogan Close, Victoria Park",51.53734559999999,-0.0366997
"Cadogan Gardens, Chelsea",51.4929977,-0.1593749
"Cadogan Place, Knightsbridge",51.4979553,-0.1578332
"Caldwell Street, Stockwell",51.4769593,-0.1148282
"Calshot Street , King's Cross",51.5328681,-0.1172651
"Camley Street, Camden Town",51.5379276,-0.1304716
"Campden Hill Road, Notting Hill",51.506505,-0.1988851
"Canada Water Station, Rotherhithe",51.49798999999999,-0.049693
"Canton Street, Poplar",51.5123178,-0.0229977
"Cantrell Road, Bow",51.5216449,-0.0269045
"Carey Street, Holborn",51.5148904,-0.1135442
"Carnegie Street, King's Cross",51.5354445,-0.1151676
"Cartwright Gardens , Bloomsbury",51.527303,-0.1268644
"Castlehaven Road, Camden Town",51.5432566,-0.1442121
"Central House, Aldgate",51.5134432,-0.0772521
"Cephas Street, Bethnal Green",51.5231961,-0.0513721
"Chadwell Street, Angel",51.5304593,-0.1064857
"Chancery Lane, Holborn",51.5182067,-0.1114984
"Chapel Place, Marylebone",51.5153505,-0.1467786
"Charing Cross Hospital, Hammersmith",51.4868889,-0.2195543
"Charlbert Street, St. John's Wood",51.534024,-0.1676802
"Charles II Street, West End",51.507976,-0.1331401
"Charlotte Street, Fitzrovia",51.5196771,-0.1359906
"Charlotte Terrace, Angel",51.5359783,-0.112966
"Cheapside, Bank",51.5142026,-0.0946099
"Chelsea Bridge, Pimlico",51.4844572,-0.1497645
"Chelsea Green, Chelsea",51.4907485,-0.166043
"Chepstow Villas, Notting Hill",51.5132327,-0.1992946
"Cheshire Street, Bethnal Green",51.5236585,-0.06866
"Chesilton Road, Fulham",51.4764775,-0.2063374
"Chicheley Street, South Bank",51.502764,-0.1167563
"Chrisp Street Market, Poplar",51.5125477,-0.0145827
"Christian Street, Whitechapel",51.5128323,-0.0641487
"Christopher Street, Liverpool Street",51.5213193,-0.0846
"City Road, Angel",51.5314382,-0.1041112
"Clapham Common North Side, Clapham Common",51.4613396,-0.1485115
"Clapham Common Station, Clapham Common",51.4616404,-0.1402519
"Clapham Road, Lingham Street, Stockwell",51.4707657,-0.1242038
"Clapham South, Clapham South",51.4527773,-0.1487892
"Claremont Square, Angel",51.5312201,-0.1103429
"Clarence Walk, Stockwell",51.4709614,-0.1267343
"Clarendon Road, Avondale",51.5847753,-0.095817
"Clarges Street, Mayfair",51.507024,-0.1453584
"Clarkson Street, Bethnal Green",51.5292553,-0.0590921
"Claverton Street, Pimlico",51.4863665,-0.1377449
"Cleaver Street, Kennington",51.488293,-0.1102906
"Clements Road, Bermondsey",51.4952866,-0.0627222
"Clerkenwell Green, Clerkenwell",51.522746,-0.1060495
"Cleveland Gardens, Bayswater",51.5153812,-0.1834048
"Cleveland Way, Stepney",51.5217784,-0.0528557
"Clifford Street, Mayfair",51.5108372,-0.1419656
"Clifton Road, Maida Vale",51.525668,-0.1792056
"Clifton Street, Shoreditch",51.5231609,-0.0830989
"Clinton Road, Mile End",51.5259284,-0.0361264
"Cloudesley Road, Angel",51.5344372,-0.1089551
"Colet Gardens, Hammersmith",51.4924207,-0.2165853
"Collingham Gardens, Earl's Court",51.4916314,-0.1885382
"Colombo Street, Southwark",51.5058511,-0.1052108
"Columbia Road, Shoreditch",51.5284347,-0.0714345
"Commercial Street, Shoreditch",51.5225859,-0.0771778
"Concert Hall Approach 1, South Bank",51.5045613,-0.1146311
"Concert Hall Approach 2, South Bank",51.5049603,-0.1155194
"Coomer Place, West Kensington",51.4835926,-0.2016654
"Copper Box Arena, Queen Elizabeth Olympic Park",51.5443004,-0.0198937
"Coram Street, Bloomsbury",51.5241283,-0.125804
"Cotton Garden Estate, Kennington",51.4908805,-0.1072867
"Courland Grove, Wandsworth Road",51.4744307,-0.1324066
"Crabtree Lane, Fulham",51.4822823,-0.2211579
"Cranmer Road, Stockwell",51.4795064,-0.1097508
"Craven Street, Strand",51.50817079999999,-0.1261651
"Crawford Street, Marylebone",51.5196005,-0.160651
"Crimscott Street, Bermondsey",51.4945554,-0.0794946
"Crinan Street, King's Cross",51.5345261,-0.1223062
"Crisp Road, Hammersmith",51.4885423,-0.2271247
"Cromer Street, Bloomsbury",51.5278555,-0.1219831
"Crosswall, Tower",51.5115931,-0.0760858
"Culvert Road, Battersea",51.4714946,-0.1585714
"Curlew Street, Shad Thames",51.50327249999999,-0.0730904
"Curzon Street, Mayfair",51.5067122,-0.147914
"Danvers Street, West Chelsea",51.4831629,-0.1727211
"De Vere Gardens, Kensington",51.5007076,-0.1849506
"Denyer Street, Knightsbridge",51.4933797,-0.1653488
"Derry Street, Kensington",51.5010269,-0.1911066
"Devons Road, Bow",51.5227796,-0.0173708
"Devonshire Terrace, Bayswater",51.5141293,-0.1804152
"Dickens Square, Borough",51.4976629,-0.0937551
"Disraeli Road, Putney",51.4610822,-0.2133073
"Dock Street, Wapping",51.5099983,-0.0681644
"Doddington Grove, Kennington",51.4860436,-0.103853
"Doric Way , Somers Town",51.5290871,-0.1317189
"Dorothy Road, Clapham Junction",51.4653271,-0.16374
"Dorset Square, Marylebone",51.5225793,-0.1608981
"Drayton Gardens, West Chelsea",51.4887274,-0.1812076
"Driffield Road, Old Ford",51.5328531,-0.0365834
"Drummond Street , Euston",51.5280408,-0.1333271
"Drury Lane, Covent Garden",51.514273,-0.12142
"Duke Street Hill, London Bridge",51.5058624,-0.0869692
"Dunston Road , Haggerston",51.5363883,-0.0745245
"Durant Street, Bethnal Green",51.5291646,-0.0661299
"Eagle Wharf Road, Hoxton",51.5342506,-0.0912744
"Earnshaw Street , Covent Garden",51.5161557,-0.1287025
"East Ferry Road, Cubitt Town",51.4935216,-0.0144401
"East India DLR, Blackwall",51.5093311,-0.0022067
"East Road, Hoxton",51.5290576,-0.0873818
"East Village, Queen Elizabeth Olympic Park",51.5439614,-0.0152116
"Eastbourne Mews, Paddington",51.5165353,-0.1793443
"Eaton Square (South), Belgravia",51.4960293,-0.1514237
"Eaton Square, Belgravia",51.4960293,-0.1514237
"Ebury Bridge, Pimlico",51.4885727,-0.1454466
"Eccleston Place, Victoria",51.494371,-0.1475049
"Edgware Road Station, Marylebone",51.51988249999999,-0.1678336
"Eel Brook Common, Walham Green",51.4768167,-0.195155
"Elgin Avenue, Maida Hill",51.5290623,-0.1879712
"Elizabeth Bridge, Victoria",51.4922626,-0.1469005
"Elysium Place, Fulham",51.4713646,-0.207188
"Embankment (Savoy), Strand",51.5101494,-0.1205205
"Emperor's Gate, South Kensington",51.4959366,-0.1859432
"Empire Square, The Borough",51.5009236,-0.0910406
"Endsleigh Gardens, Euston",51.526462,-0.1315729
"Erin Close, Walham Green",51.4796003,-0.1958041
"Esmond Street, Putney",51.4621078,-0.2105407
"Ethelburga Estate, Battersea Park",51.4769725,-0.1677634
"Euston Road, Euston",51.5280408,-0.1333271
"Euston Square Gardens, Euston",51.5270631,-0.1324874
"Everington Street, Fulham",51.4841942,-0.2164146
"Eversholt Street , Camden Town",51.5312385,-0.1350598
"Evesham Street, Avondale",51.5110902,-0.2184972
"Exhibition Road Museums 1, South Kensington",51.4981988,-0.1740827
"Exhibition Road Museums 2, South Kensington",51.4981988,-0.1740827
"Exhibition Road, Knightsbridge",51.4993035,-0.1742879
"Falcon Road, Clapham Junction",51.4646378,-0.169492
"Falkirk Street, Hoxton",51.5307861,-0.0786367
"Fanshaw Street, Hoxton",51.5297484,-0.0819433
"Farm Street, Mayfair",51.5094097,-0.1484199
"Farringdon Lane, Clerkenwell",51.5230428,-0.1072731
"Farringdon Street, Holborn",51.5187408,-0.1053437
"Fashion Street, Whitechapel",51.5184244,-0.0730793
"Fawcett Close, Battersea",51.4692527,-0.174222
"Felsham Road, Putney",51.4661767,-0.2204651
"Ferndale Road, Brixton",51.4627752,-0.1220192
"Finlay Street, Fulham",51.4756933,-0.2180768
"Finnis Street, Bethnal Green",51.5249543,-0.0586402
"Finsbury Circus, Liverpool Street",51.5178302,-0.08640579999999999
"Finsbury Leisure Centre, St. Luke's",51.5259571,-0.09528479999999999
"Finsbury Library , Finsbury",51.5263331,-0.1041707
"Finsbury Square , Moorgate",51.52131,-0.0865401
"Fire Brigade Pier, Vauxhall",51.4861671,-0.12172
"Fisherman's Walk West, Canary Wharf",51.5063037,-0.0221721
"Flamborough Street, Limehouse",51.5134463,-0.0390321
"Flood Street, Chelsea",51.48623,-0.1653464
"Foley Street, Fitzrovia",51.5196254,-0.1395022
"Ford Road, Old Ford",51.532349,-0.0329916
"Fore Street Avenue, Guildhall",51.5159245,-0.0913715
"Fore Street, Guildhall",51.5159245,-0.0913715
"Fournier Street, Whitechapel",51.5192762,-0.0732251
"Frampton Street, Paddington",51.5246914,-0.1730147
"Freston Road, Avondale",51.5119155,-0.218444
"Frith Street, Soho",51.5137213,-0.1315808
"Fulham Broadway, Walham Green",51.4803328,-0.1943638
"Fulham Park Road, Fulham",51.4725748,-0.2073259
"Furze Green, Bow",51.5182927,-0.0214109
"Garnet Street, Shadwell",51.5077866,-0.055023
"Gas Holders, Battersea Park",51.4791075,-0.1564981
"Gascoyne Road, Victoria Park",51.5421379,-0.040653
"Gauden Road, Clapham",51.4672229,-0.1324913
"Gaywood  Street, Elephant & Castle",51.4961424,-0.1028083
"George Place Mews, Marylebone",51.5170972,-0.1575256
"George Row, Bermondsey",51.4989543,-0.0690372
"George Street, Marylebone",51.5170972,-0.1575256
"Geraldine Street, Elephant & Castle",51.4960296,-0.1060327
"Globe Town Market, Bethnal Green",51.5284692,-0.0473329
"Gloucester Avenue, Camden Town",51.5400273,-0.1504239
"Gloucester Road (Central), South Kensington",51.4952605,-0.1829241
"Gloucester Road (North), Kensington",51.4952605,-0.1829241
"Gloucester Road Station, South Kensington",51.4942686,-0.1828493
"Gloucester Street, Pimlico",51.489194,-0.1414396
"Gloucester Terrace, Bayswater",51.5141818,-0.1789923
"Godliman Street, St. Paul's",51.5138453,-0.0983506
"Golden Lane, Barbican",51.5212744,-0.0941701
"Golden Square, Soho",51.5115109,-0.1375246
"Goldsmith's Row, Haggerston",51.5332195,-0.0650901
"Good's Way, King's Cross",51.5346985,-0.1247474
"Goswell Road (City Uni), Finsbury",51.5279719,-0.1024624
"Gower Place , Euston",51.5254718,-0.1359288
"Grafton Street, Mayfair",51.5099702,-0.1434697
"Graham Street, Angel",51.5326968,-0.1002211
"Granby Street, Shoreditch",51.5251827,-0.0694916
"Grant Road East, Clapham Junction",51.4640143,-0.1700497
"Great Dover Street, The Borough",51.4979002,-0.0901179
"Great Percy Street, Clerkenwell",51.5296422,-0.1123182
"Great Russell Street, Bloomsbury",51.5179041,-0.1271769
"Great Suffolk Street, The Borough",51.5016132,-0.100086
"Great Titchfield Street, Fitzrovia",51.5193687,-0.1409533
"Great Tower Street, Monument",51.510143,-0.08594199999999999
"Green Park Station, Mayfair",51.5069327,-0.1428838
"Green Street, Mayfair",51.512615,-0.155434
"Greenberry Street, St.John's Wood",51.5320548,-0.1680048
"Greenland Road, Camden Town",51.5393142,-0.1409763
"Grenfell Road, Avondale",51.5130433,-0.2150331
"Greycoat Street , Westminster",51.4952949,-0.1345474
"Greyhound Road, Hammersmith",51.4861768,-0.2140719
"Grosvenor Crescent, Belgravia",51.5011317,-0.1534145
"Grosvenor Road, Pimlico",51.4854494,-0.1361224
"Grosvenor Square, Mayfair",51.5121458,-0.1514965
"Grove End Road, St. John's Wood",51.5309165,-0.1766547
"Guildhouse Street, Victoria",51.492691,-0.14181
"Guilford Street , Bloomsbury",51.5229952,-0.1218462
"Gunmakers Lane, Old Ford",51.535351,-0.0338306
"Gwendwr Road, West Kensington",51.4910501,-0.2095432
"Haggerston Road, Haggerston",51.5386108,-0.0731293
"Halford Road, West Kensington",51.4839449,-0.1975898
"Hammersmith Road, Hammersmith",51.4936912,-0.215654
"Hampstead Road, Euston",51.5252329,-0.1381076
"Hampton Street, Walworth",51.4919259,-0.1000768
"Handyside Street, King's Cross",51.5374379,-0.1252333
"Hansard Mews, Holland Park",51.502975,-0.2154871
"Harcourt Terrace, West Brompton",51.4872274,-0.1861523
"Hardwick Street, Clerkenwell",51.5277087,-0.1085563
"Harford Street, Mile End",51.5206833,-0.0389787
"Harper Road, The Borough",51.4969782,-0.0941927
"Harriet Street, Knightsbridge",51.5001966,-0.1598059
"Harrington Square 1, Camden Town",51.5335245,-0.1384122
"Harris Academy, Bermondsey",51.492805,-0.071092
"Harrowby Street, Marylebone",51.5173905,-0.1641547
"Hartington Road, Stockwell",51.4761831,-0.1275456
"Hatton Garden, Holborn",51.5200634,-0.1083428
"Hatton Wall, Holborn",51.5212635,-0.1098612
"Hawley Crescent, Camden Town",51.541064,-0.143082
"Heath Road, Battersea",51.4690852,-0.1453397
"Here East North, Queen Elizabeth Olympic Park",51.5473108,-0.0239515
"Here East South, Queen Elizabeth Olympic Park",51.5473108,-0.0239515
"Hereford Road, Bayswater",51.5139642,-0.1935986
"Hermitage Court, Wapping",51.50405199999999,-0.06343789999999999
"Heron Quays DLR, Canary Wharf",51.5029405,-0.02145
"Hertford Road, De Beauvoir Town",51.5373235,-0.079225
"Hewison Street, Old Ford",51.5325115,-0.027209
"Hibbert Street, Battersea",51.4648304,-0.180301
"High Holborn , Covent Garden",51.5177094,-0.1189638
"Hinde Street, Marylebone",51.5169411,-0.1513336
"Holborn Circus, Holborn",51.5178247,-0.1079381
"Holden Street, Battersea",51.4689135,-0.1568044
"Holland Park, Kensington",51.5032252,-0.2036668
"Hollybush Gardens, Bethnal Green",51.5285156,-0.056968
"Holy Trinity Brompton, Knightsbridge",51.4978016,-0.169831
"Hop Exchange, The Borough",51.5049118,-0.091374
"Horseferry Road, Westminster",51.4948628,-0.1295316
"Hortensia Road, West Brompton",51.481841,-0.185275
"Houghton Street, Strand",51.5136857,-0.1167011
"Houndsditch, Aldgate",51.5155663,-0.0790417
"Howick Place, Westminster",51.4966778,-0.1373854
"Howland Street, Fitzrovia",51.5215171,-0.1375645
"Hoxton Station, Hoxton",51.5302365,-0.0760657
"Hoxton Street, Hoxton",51.5298315,-0.0801319
"Humbolt Road, Fulham",51.4837859,-0.2121686
"Hurlingham Park, Parsons Green",51.4689986,-0.2014554
"Hyde Park Corner, Hyde Park",51.51099720000001,-0.1587426
"Ilchester Gardens, Bayswater",51.5128903,-0.191166
"Ilchester Place, Kensington",51.5004009,-0.2037181
"Imperial College, Knightsbridge",51.4986989,-0.1726709
"Imperial Road, Sands End",51.4750403,-0.1867509
"Imperial Wharf Station, Sands End",51.4750534,-0.1826773
"Import Dock, Canary Wharf",51.50252346354253,-0.0183247420594416
"Ingrave Street, Clapham Junction",51.4675194,-0.1725601
"Irene Road, Parsons Green",51.4739746,-0.1966964
"Islington Green, Angel",51.5359628,-0.1028407
"Jewry Street, Aldgate",51.51352199999999,-0.07679509999999999
"Jubilee Crescent, Cubitt Town",51.49331,-0.0080978
"Jubilee Plaza, Canary Wharf",51.5035926,-0.0171434
"Jubilee Street, Stepney",51.5171893,-0.0529714
"Kennington Cross, Kennington",51.4879753,-0.1119362
"Kennington Lane Rail Bridge, Vauxhall",51.4868177,-0.1166503
"Kennington Lane Rail Bridge, Vauxhall_OLD",51.4868177,-0.1166503
"Kennington Oval, Oval",51.4830051,-0.1157251
"Kennington Oval, Oval_OLD",51.4830051,-0.1157251
"Kennington Road Post Office, Oval",51.4846204,-0.1106103
"Kennington Road, Vauxhall",51.489003,-0.1112186
"Kennington Station, Kennington",51.48827370000001,-0.105614
"Kensington Church Street, Kensington",51.5051642,-0.1938871
"Kensington Gore, Knightsbridge",51.5012155,-0.1797289
"Kensington Olympia Station, Olympia",51.4979934,-0.2099576
"Kensington Town Hall, Kensington",51.5017499,-0.1949376
"Killick Street, King's Cross",51.5328887,-0.1185278
"King Edward Street, St Pauls",51.5164281,-0.0984316
"King Edward Walk, Waterloo",51.4975361,-0.1099441
"Kings Gate House, Westminster",51.4972893,-0.1387113
"Kingsway Southbound, Strand",51.5110832,-0.1197104
"Kingsway, Covent Garden",51.5153743,-0.1188512
"Knaresborough Place, Earl's Court",51.4939569,-0.1908765
"Knightsbridge, Hyde Park",51.5019896,-0.1597067
"LMU Commercial Road, Whitechapel",51.5153016,-0.07338280000000001
"LSBU (Borough Road), Elephant & Castle",51.4979199,-0.1017593
"Ladbroke Grove Central, Ladbroke Grove",51.5178817,-0.2103104
"Lambeth North Station, Waterloo",51.4989177,-0.1121086
"Lambeth Palace Road, Waterloo",51.5004292,-0.1167291
"Lambeth Road, Vauxhall",51.4844268,-0.1228855
"Lancaster Drive, Blackwall",51.5034635,-0.0082894
"Lancaster Gate , Bayswater",51.5115793,-0.180241
"Langdon Park, Poplar",51.5163301,-0.0133953
"Lansdowne Drive, Hackney Central",51.5413416,-0.0637432
"Lansdowne Road, Ladbroke Grove",51.5134194,-0.2071045
"Lansdowne Walk, Ladbroke Grove",51.5096521,-0.204406
"Lavington Street, Bankside",51.5081352,-0.095185
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.5505592,-0.0149742
"Leman Street, Aldgate",51.5130106,-0.0699691
"Leonard Circus , Shoreditch",51.5246786,-0.0840517
"Leonard Circus , Shoreditch_OLD",51.5246786,-0.0840517
"Lexham Gardens, Kensington",51.4958843,-0.1924822
"Lightermans Road, Millwall",51.4990042,-0.0200962
"Limburg Road, Clapham Junction",51.4640143,-0.1700497
"Limburg Road, Clapham Junction_OLD",51.4640143,-0.1700497
"Limerston Street, West Chelsea",51.4843967,-0.1793644
"Lincoln's Inn Fields, Holborn",51.5169486,-0.1170426
"Lindfield Street, Poplar",51.5137874,-0.0224835
"Lisson Grove, St. John's Wood",51.5252298,-0.1693256
"Little Argyll Street, West End",51.514516,-0.1412898
"Little Brook Green, Brook Green",51.4968362,-0.2234055
"Liverpool Road (N1 Centre), Angel",51.5347581,-0.1071611
"Lollard Street, Vauxhall",51.4922408,-0.113557
"London Fields, Hackney Central",51.5422817,-0.06146169999999999
"London Street, Paddington",51.5158919,-0.1748382
"London Zoo Car Park, The Regent's Park",51.536922,-0.150181
"London Zoo,  The Regent's Park",51.5352875,-0.1534303
"Long Lane , Bermondsey",51.4982378,-0.0831726
"Longford Street, The Regent's Park",51.5256822,-0.1429324
"Lord's, St. John's Wood",51.5325272,-0.1697457
"Lots Road, West Chelsea",51.4783207,-0.1813993
"Lower Marsh, Waterloo",51.5009646,-0.1125137
"Lower Thames Street, Monument",51.5093897,-0.0846176
"Macclesfield Rd, St Lukes",51.5287516,-0.0966707
"Maida Vale, Maida Vale",51.5297549,-0.1831578
"Malet Street, Bloomsbury",51.5214247,-0.1302469
"Mallory Street, Marylebone",51.5249899,-0.1663287
"Malmesbury Road, Bow",51.5295609,-0.0268973
"Manbre Road, Hammersmith",51.4864279,-0.2241195
"Manresa Road, Chelsea",51.4875391,-0.17147
"Maplin Street, Mile End",51.5250743,-0.0326831
"Margery Street, Clerkenwell",51.5275102,-0.1105888
"Marloes Road, Kensington",51.4966374,-0.1922927
"Marylebone Lane, Marylebone",51.5162332,-0.1496239
Mechanical Workshop Clapham,51.4687297,-0.1022252
"Merchant Street, Bow",51.5260619,-0.0276746
"Mexfield Road, East Putney",51.4577842,-0.2028694
"Michael Road, Walham Green",51.4779112,-0.1880423
"Mile End Park Leisure Centre, Mile End",51.5193208,-0.0322873
"Mile End Stadium, Mile End",51.5192054,-0.0321641
"Millbank Tower, Pimlico",51.4923168,-0.1259315
"Millennium Hotel, Mayfair",51.5108004,-0.151122
"Millharbour, Millwall",51.4983409,-0.0188605
"Milroy Walk, South Bank",51.5078554,-0.1062583
"Monier Road, Hackney Wick",51.5398626,-0.0226494
"Montpelier Street, Knightsbridge",51.4993456,-0.1657836
"Montserrat Road , Putney",51.462902,-0.2140161
"Monument Street, Monument",51.510143,-0.08594199999999999
"Moor Street, Soho",51.5134673,-0.1295028
"Moorfields, Moorgate",51.517118,-0.0887547
"Morie Street, Wandsworth",51.459877,-0.1900605
"Mostyn Grove, Bow",51.5311601,-0.0261856
"Mudchute DLR, Cubitt Town",51.4913268,-0.0149936
"Murray Grove , Hoxton",51.530885,-0.089248
"Museum of London, Barbican",51.5176183,-0.0967782
"Nantes Close, Wandsworth",51.4618929,-0.1812318
"Napier Avenue, Millwall",51.4881223,-0.0210928
"Natural History Museum, South Kensington",51.49671499999999,-0.1763672
"Naval Row, Blackwall",51.5091902,-0.0051298
"Nesham Street, Wapping",51.5074436,-0.0674606
"Nevern Place, Earl's Court",51.4929971,-0.1956155
"Neville Gill Close, Wandsworth",51.4543612,-0.194875
"New Cavendish Street, Marylebone",51.519369,-0.1471227
"New Fetter Lane, Holborn",51.5166837,-0.1080532
"New Globe Walk, Bankside",51.5083239,-0.09629249999999999
"New Inn Yard, Shoreditch",51.5245295,-0.0787854
"New Kent Road, The Borough",51.4941251,-0.0915484
"New North Road 2, Hoxton",51.5302631,-0.08416219999999999
"New Road 1 , Whitechapel",51.5150166,-0.06206129999999999
"New Spring Gardens Walk, Vauxhall",51.4877912,-0.122666
"Newby Place, Poplar",51.5101635,-0.0121504
"Newgate Street , St. Paul's",51.5157427,-0.1000794
"Newton Street, Covent Garden",51.5165812,-0.1213464
