station,hour,pickup_count
"Albany Street, The Regent's Park",8,1.7951807228915662
"Albany Street, The Regent's Park",9,2.1
"Albany Street, The Regent's Park",10,2.8131868131868134
"Albany Street, The Regent's Park",11,2.9347826086956523
"Albany Street, The Regent's Park",12,3.033333333333333
"Albany Street, The Regent's Park",13,2.8349514563106797
"Albany Street, The Regent's Park",14,3.357894736842105
"Albany Street, The Regent's Park",15,3.382978723404255
"Albany Street, The Regent's Park",16,3.447058823529412
"Albany Street, The Regent's Park",17,3.632183908045977
"Albany Street, The Regent's Park",18,3.4651162790697674
"Albany Street, The Regent's Park",19,2.4390243902439024
"Albany Street, The Regent's Park",20,1.8448275862068966
"Albany Street, The Regent's Park",21,1.8048780487804879
"Albany Street, The Regent's Park",22,1.5
"Albany Street, The Regent's Park",23,1.25
"Albert Bridge Road, Battersea Park",0,1.3529411764705883
"Albert Bridge Road, Battersea Park",1,1.0
"Albert Bridge Road, Battersea Park",2,1.0
"Albert Bridge Road, Battersea Park",3,1.125
"Albert Bridge Road, Battersea Park",4,1.0
"Albert Bridge Road, Battersea Park",5,1.0
"Albert Bridge Road, Battersea Park",6,1.3636363636363635
"Albert Bridge Road, Battersea Park",7,1.4230769230769231
"Albert Bridge Road, Battersea Park",8,1.7564102564102564
"Albert Bridge Road, Battersea Park",9,2.3870967741935485
"Albert Bridge Road, Battersea Park",10,3.4742268041237114
"Albert Bridge Road, Battersea Park",11,3.210526315789474
"Albert Bridge Road, Battersea Park",12,3.247311827956989
"Albert Bridge Road, Battersea Park",13,3.0631578947368423
"Albert Bridge Road, Battersea Park",14,3.1444444444444444
"Albert Bridge Road, Battersea Park",15,3.1458333333333335
"Albert Bridge Road, Battersea Park",16,2.880952380952381
"Albert Bridge Road, Battersea Park",17,2.797752808988764
"Albert Bridge Road, Battersea Park",18,2.5444444444444443
"Albert Bridge Road, Battersea Park",19,2.5675675675675675
"Albert Bridge Road, Battersea Park",20,1.7346938775510203
"Albert Bridge Road, Battersea Park",21,1.930232558139535
"Albert Bridge Road, Battersea Park",22,1.9411764705882353
"Albert Bridge Road, Battersea Park",23,1.9545454545454546
"Albert Embankment, Vauxhall",0,1.9411764705882353
"Albert Embankment, Vauxhall",1,1.5
"Albert Embankment, Vauxhall",2,1.5555555555555556
"Albert Embankment, Vauxhall",3,1.25
"Albert Embankment, Vauxhall",4,1.0
"Albert Embankment, Vauxhall",5,1.0
"Albert Embankment, Vauxhall",6,1.0
"Albert Embankment, Vauxhall",7,1.3076923076923077
"Albert Embankment, Vauxhall",8,1.4444444444444444
"Albert Embankment, Vauxhall",9,1.92
"Albert Embankment, Vauxhall",10,1.4390243902439024
"Albert Embankment, Vauxhall",11,2.0232558139534884
"Albert Embankment, Vauxhall",12,2.3555555555555556
"Albert Embankment, Vauxhall",13,2.3207547169811322
"Albert Embankment, Vauxhall",14,2.106382978723404
"Albert Embankment, Vauxhall",15,2.13953488372093
"Albert Embankment, Vauxhall",16,1.7058823529411764
"Albert Embankment, Vauxhall",17,2.36734693877551
"Albert Embankment, Vauxhall",18,1.9361702127659575
"Albert Embankment, Vauxhall",19,2.292682926829268
"Albert Embankment, Vauxhall",20,2.085714285714286
"Albert Embankment, Vauxhall",21,1.75
"Albert Embankment, Vauxhall",22,1.9130434782608696
"Albert Embankment, Vauxhall",23,1.5
"Albert Embankment, Vauxhall_OLD",0,1.6363636363636365
"Albert Embankment, Vauxhall_OLD",1,1.2857142857142858
"Albert Embankment, Vauxhall_OLD",2,1.4
"Albert Embankment, Vauxhall_OLD",3,1.0
"Albert Embankment, Vauxhall_OLD",4,1.0
"Albert Embankment, Vauxhall_OLD",5,2.0
"Albert Embankment, Vauxhall_OLD",6,1.0
"Albert Embankment, Vauxhall_OLD",7,1.5454545454545454
"Albert Embankment, Vauxhall_OLD",8,2.0
"Albert Embankment, Vauxhall_OLD",9,1.631578947368421
"Albert Embankment, Vauxhall_OLD",10,1.6
"Albert Embankment, Vauxhall_OLD",11,1.6470588235294117
"Albert Embankment, Vauxhall_OLD",12,1.7142857142857142
"Albert Embankment, Vauxhall_OLD",13,2.0454545454545454
"Albert Embankment, Vauxhall_OLD",14,2.0
"Albert Embankment, Vauxhall_OLD",15,1.7894736842105263
"Albert Embankment, Vauxhall_OLD",16,1.9047619047619047
"Albert Embankment, Vauxhall_OLD",17,2.5
"Albert Embankment, Vauxhall_OLD",18,1.5263157894736843
"Albert Embankment, Vauxhall_OLD",19,1.9285714285714286
"Albert Embankment, Vauxhall_OLD",20,1.3333333333333333
"Albert Embankment, Vauxhall_OLD",21,1.8888888888888888
"Albert Embankment, Vauxhall_OLD",22,1.375
"Albert Embankment, Vauxhall_OLD",23,1.5
"Albert Gardens, Stepney",0,1.7826086956521738
"Albert Gardens, Stepney",1,1.7037037037037037
"Albert Gardens, Stepney",2,1.6
"Albert Gardens, Stepney",3,1.5625
"Albert Gardens, Stepney",4,1.3333333333333333
"Albert Gardens, Stepney",5,1.1428571428571428
"Albert Gardens, Stepney",6,1.206896551724138
"Albert Gardens, Stepney",7,1.391304347826087
"Albert Gardens, Stepney",8,1.3584905660377358
"Albert Gardens, Stepney",9,1.8243243243243243
"Albert Gardens, Stepney",10,2.2409638554216866
"Albert Gardens, Stepney",11,2.3214285714285716
"Albert Gardens, Stepney",12,2.8131868131868134
"Albert Gardens, Stepney",13,3.0412371134020617
"Albert Gardens, Stepney",14,2.849462365591398
"Albert Gardens, Stepney",15,2.3225806451612905
"Albert Gardens, Stepney",16,2.2903225806451615
"Albert Gardens, Stepney",17,2.2823529411764705
"Albert Gardens, Stepney",18,2.085714285714286
"Albert Gardens, Stepney",19,1.9342105263157894
"Albert Gardens, Stepney",20,1.9130434782608696
"Albert Gardens, Stepney",21,1.3421052631578947
"Albert Gardens, Stepney",22,1.8333333333333333
"Albert Gardens, Stepney",23,2.2580645161290325
"Albert Gate, Hyde Park",0,1.6842105263157894
"Albert Gate, Hyde Park",1,1.1428571428571428
"Albert Gate, Hyde Park",2,1.0
"Albert Gate, Hyde Park",3,1.0
"Albert Gate, Hyde Park",4,1.0
"Albert Gate, Hyde Park",5,1.1428571428571428
"Albert Gate, Hyde Park",6,1.4545454545454546
"Albert Gate, Hyde Park",7,1.4473684210526316
"Albert Gate, Hyde Park",8,2.298507462686567
"Albert Gate, Hyde Park",9,3.8533333333333335
"Albert Gate, Hyde Park",10,6.0285714285714285
"Albert Gate, Hyde Park",11,9.285714285714286
"Albert Gate, Hyde Park",12,12.79816513761468
"Albert Gate, Hyde Park",13,16.349056603773583
"Albert Gate, Hyde Park",14,16.146788990825687
"Albert Gate, Hyde Park",15,17.605504587155963
"Albert Gate, Hyde Park",16,16.682242990654206
"Albert Gate, Hyde Park",17,14.398058252427184
"Albert Gate, Hyde Park",18,12.933962264150944
"Albert Gate, Hyde Park",19,10.855421686746988
"Albert Gate, Hyde Park",20,8.214285714285714
"Albert Gate, Hyde Park",21,5.2
"Albert Gate, Hyde Park",22,2.58
"Albert Gate, Hyde Park",23,2.152173913043478
"Albert Square, Stockwell",0,1.25
"Albert Square, Stockwell",1,1.0909090909090908
"Albert Square, Stockwell",2,1.2307692307692308
"Albert Square, Stockwell",3,1.0
"Albert Square, Stockwell",4,1.25
"Albert Square, Stockwell",5,1.0
"Albert Square, Stockwell",6,1.4615384615384615
"Albert Square, Stockwell",7,1.3265306122448979
"Albert Square, Stockwell",8,1.776470588235294
"Albert Square, Stockwell",9,2.607142857142857
"Albert Square, Stockwell",10,2.58
"Albert Square, Stockwell",11,3.2718446601941746
"Albert Square, Stockwell",12,2.925531914893617
"Albert Square, Stockwell",13,2.84375
"Albert Square, Stockwell",14,2.659340659340659
