station,hour,dropoff_count
"Abingdon Villas, Kensington",7,1.5414364640883977
"Abingdon Villas, Kensington",8,2.676470588235294
"Abingdon Villas, Kensington",9,1.6232876712328768
"Abingdon Villas, Kensington",10,1.4227642276422765
"Abingdon Villas, Kensington",11,1.3300970873786409
"Abingdon Villas, Kensington",12,1.4732142857142858
"Abingdon Villas, Kensington",13,1.7076923076923076
"Abingdon Villas, Kensington",14,1.5985915492957747
"Abingdon Villas, Kensington",15,1.7379310344827585
"Abingdon Villas, Kensington",16,1.9617834394904459
"Abingdon Villas, Kensington",17,2.04320987654321
"Abingdon Villas, Kensington",18,2.3819095477386933
"Abingdon Villas, Kensington",19,2.370967741935484
"Abingdon Villas, Kensington",20,1.7894736842105263
"Abingdon Villas, Kensington",21,1.4253731343283582
"Abingdon Villas, Kensington",22,1.2755102040816326
"Abingdon Villas, Kensington",23,1.2769230769230768
"Ackroyd Drive, Bow",0,1.263157894736842
"Ackroyd Drive, Bow",1,1.2195121951219512
"Ackroyd Drive, Bow",2,1.1666666666666667
"Ackroyd Drive, Bow",3,1.7
"Ackroyd Drive, Bow",4,1.2307692307692308
"Ackroyd Drive, Bow",5,1.0
"Ackroyd Drive, Bow",6,1.0303030303030303
"Ackroyd Drive, Bow",7,2.3014354066985647
"Ackroyd Drive, Bow",8,2.0972222222222223
"Ackroyd Drive, Bow",9,1.5447154471544715
"Ackroyd Drive, Bow",10,1.375
"Ackroyd Drive, Bow",11,1.2872340425531914
"Ackroyd Drive, Bow",12,1.4672897196261683
"Ackroyd Drive, Bow",13,1.8166666666666667
"Ackroyd Drive, Bow",14,1.6149068322981366
"Ackroyd Drive, Bow",15,1.8620689655172413
"Ackroyd Drive, Bow",16,1.955
"Ackroyd Drive, Bow",17,3.7468354430379747
"Ackroyd Drive, Bow",18,5.979166666666667
"Ackroyd Drive, Bow",19,4.034188034188034
"Ackroyd Drive, Bow",20,2.815165876777251
"Ackroyd Drive, Bow",21,2.518134715025907
"Ackroyd Drive, Bow",22,2.612021857923497
"Ackroyd Drive, Bow",23,2.3395061728395063
"Ada Street, Hackney Central",0,1.3170731707317074
"Ada Street, Hackney Central",1,1.0
"Ada Street, Hackney Central",2,1.25
"Ada Street, Hackney Central",3,1.1111111111111112
"Ada Street, Hackney Central",4,1.0
"Ada Street, Hackney Central",5,1.4
"Ada Street, Hackney Central",6,1.0666666666666667
"Ada Street, Hackney Central",7,1.2941176470588236
"Ada Street, Hackney Central",8,1.9852216748768472
"Ada Street, Hackney Central",9,1.9252873563218391
"Ada Street, Hackney Central",10,1.61875
"Ada Street, Hackney Central",11,1.5573770491803278
"Ada Street, Hackney Central",12,1.8833333333333333
"Ada Street, Hackney Central",13,1.588235294117647
"Ada Street, Hackney Central",14,1.4488188976377954
"Ada Street, Hackney Central",15,1.5086206896551724
"Ada Street, Hackney Central",16,1.8132530120481927
"Ada Street, Hackney Central",17,2.784037558685446
"Ada Street, Hackney Central",18,4.273127753303965
"Ada Street, Hackney Central",19,3.4827586206896552
"Ada Street, Hackney Central",20,2.848314606741573
"Ada Street, Hackney Central",21,2.1233766233766236
"Ada Street, Hackney Central",22,1.7387387387387387
"Ada Street, Hackney Central",23,1.5826086956521739
"Addison Road, Holland Park",0,1.0588235294117647
"Addison Road, Holland Park",1,1.1666666666666667
"Addison Road, Holland Park",2,1.0
"Addison Road, Holland Park",3,1.0
"Addison Road, Holland Park",4,1.0
"Addison Road, Holland Park",5,1.0
"Addison Road, Holland Park",6,1.0
"Addison Road, Holland Park",7,1.5166666666666666
"Addison Road, Holland Park",8,1.7243589743589745
"Addison Road, Holland Park",9,1.4857142857142858
"Addison Road, Holland Park",10,1.2555555555555555
"Addison Road, Holland Park",11,1.4109589041095891
"Addison Road, Holland Park",12,1.3733333333333333
"Addison Road, Holland Park",13,1.4462809917355373
"Addison Road, Holland Park",14,1.3820224719101124
"Addison Road, Holland Park",15,1.518796992481203
"Addison Road, Holland Park",16,1.5533333333333332
"Addison Road, Holland Park",17,1.68125
"Addison Road, Holland Park",18,2.7666666666666666
"Addison Road, Holland Park",19,2.4619289340101522
"Addison Road, Holland Park",20,1.4883720930232558
"Addison Road, Holland Park",21,1.3595505617977528
"Addison Road, Holland Park",22,1.3866666666666667
"Addison Road, Holland Park",23,1.183673469387755
"Aintree Street, Fulham",0,1.3620689655172413
"Aintree Street, Fulham",1,1.4444444444444444
"Aintree Street, Fulham",2,1.1
"Aintree Street, Fulham",3,1.5
"Aintree Street, Fulham",4,1.0
"Aintree Street, Fulham",5,1.0108695652173914
"Aintree Street, Fulham",6,1.0816326530612246
"Aintree Street, Fulham",7,1.1625
"Aintree Street, Fulham",8,1.2735849056603774
"Aintree Street, Fulham",9,1.2947368421052632
"Aintree Street, Fulham",10,1.2
"Aintree Street, Fulham",11,1.2435897435897436
"Aintree Street, Fulham",12,1.423728813559322
"Aintree Street, Fulham",13,1.4796747967479675
"Aintree Street, Fulham",14,1.407079646017699
"Aintree Street, Fulham",15,1.7246376811594204
"Aintree Street, Fulham",16,2.2443181818181817
"Aintree Street, Fulham",17,3.686635944700461
"Aintree Street, Fulham",18,4.831818181818182
"Aintree Street, Fulham",19,3.944700460829493
"Aintree Street, Fulham",20,2.4814814814814814
"Aintree Street, Fulham",21,2.305389221556886
"Aintree Street, Fulham",22,2.129251700680272
"Aintree Street, Fulham",23,1.744
"Albany Street, The Regent's Park",0,1.2641509433962264
"Albany Street, The Regent's Park",1,1.25
"Albany Street, The Regent's Park",2,1.2222222222222223
"Albany Street, The Regent's Park",3,1.0
"Albany Street, The Regent's Park",4,1.1
"Albany Street, The Regent's Park",5,1.0264900662251655
"Albany Street, The Regent's Park",6,1.1285714285714286
"Albany Street, The Regent's Park",7,1.1428571428571428
"Albany Street, The Regent's Park",8,1.6574585635359116
"Albany Street, The Regent's Park",9,1.5037037037037038
"Albany Street, The Regent's Park",10,1.6330275229357798
"Albany Street, The Regent's Park",11,1.603448275862069
"Albany Street, The Regent's Park",12,1.8231292517006803
"Albany Street, The Regent's Park",13,2.005952380952381
"Albany Street, The Regent's Park",14,1.8846153846153846
"Albany Street, The Regent's Park",15,2.051948051948052
"Albany Street, The Regent's Park",16,2.283422459893048
"Albany Street, The Regent's Park",17,2.7116279069767444
"Albany Street, The Regent's Park",18,3.582222222222222
"Albany Street, The Regent's Park",19,3.1345291479820627
"Albany Street, The Regent's Park",20,2.0166666666666666
"Albany Street, The Regent's Park",21,1.7702702702702702
"Albany Street, The Regent's Park",22,1.8360655737704918
"Albany Street, The Regent's Park",23,1.3333333333333333
"Albert Bridge Road, Battersea Park",0,1.1842105263157894
"Albert Bridge Road, Battersea Park",1,1.4444444444444444
"Albert Bridge Road, Battersea Park",2,1.6363636363636365
"Albert Bridge Road, Battersea Park",3,1.3333333333333333
"Albert Bridge Road, Battersea Park",4,1.3333333333333333
"Albert Bridge Road, Battersea Park",5,1.0
"Albert Bridge Road, Battersea Park",6,1.0869565217391304
"Albert Bridge Road, Battersea Park",7,1.375
"Albert Bridge Road, Battersea Park",8,2.14
"Albert Bridge Road, Battersea Park",9,1.449612403100775
"Albert Bridge Road, Battersea Park",10,1.6166666666666667
"Albert Bridge Road, Battersea Park",11,1.5873015873015872
"Albert Bridge Road, Battersea Park",12,1.5608108108108107
"Albert Bridge Road, Battersea Park",13,1.9605263157894737
"Albert Bridge Road, Battersea Park",14,1.7337278106508875
"Albert Bridge Road, Battersea Park",15,2.153409090909091
"Albert Bridge Road, Battersea Park",16,2.446700507614213
"Albert Bridge Road, Battersea Park",17,4.004366812227074
"Albert Bridge Road, Battersea Park",18,5.551282051282051
"Albert Bridge Road, Battersea Park",19,4.1938325991189425
"Albert Bridge Road, Battersea Park",20,2.481675392670157
"Albert Bridge Road, Battersea Park",21,1.9395973154362416
"Albert Bridge Road, Battersea Park",22,1.7956204379562044
"Albert Bridge Road, Battersea Park",23,1.5777777777777777
"Albert Embankment, Vauxhall",0,1.3793103448275863
"Albert Embankment, Vauxhall",1,1.1
"Albert Embankment, Vauxhall",2,1.1111111111111112
"Albert Embankment, Vauxhall",3,1.0
"Albert Embankment, Vauxhall",4,1.1
"Albert Embankment, Vauxhall",5,1.0
"Albert Embankment, Vauxhall",6,1.171875
"Albert Embankment, Vauxhall",7,1.7169811320754718
"Albert Embankment, Vauxhall",8,2.86231884057971
"Albert Embankment, Vauxhall",9,3.045801526717557
"Albert Embankment, Vauxhall",10,1.6097560975609757
"Albert Embankment, Vauxhall",11,1.452054794520548
"Albert Embankment, Vauxhall",12,1.6813186813186813
"Albert Embankment, Vauxhall",13,1.6551724137931034
"Albert Embankment, Vauxhall",14,1.9767441860465116
"Albert Embankment, Vauxhall",15,1.6477272727272727
"Albert Embankment, Vauxhall",16,1.7291666666666667
"Albert Embankment, Vauxhall",17,2.612676056338028
"Albert Embankment, Vauxhall",18,2.2083333333333335
"Albert Embankment, Vauxhall",19,2.456896551724138
"Albert Embankment, Vauxhall",20,1.8854166666666667
"Albert Embankment, Vauxhall",21,1.6933333333333334
"Albert Embankment, Vauxhall",22,1.5818181818181818
"Albert Embankment, Vauxhall",23,1.4444444444444444
"Albert Embankment, Vauxhall_OLD",0,1.5714285714285714
"Albert Embankment, Vauxhall_OLD",1,1.1818181818181819
"Albert Embankment, Vauxhall_OLD",2,1.5
"Albert Embankment, Vauxhall_OLD",3,1.6666666666666667
"Albert Embankment, Vauxhall_OLD",4,1.0
"Albert Embankment, Vauxhall_OLD",5,1.0
"Albert Embankment, Vauxhall_OLD",6,1.4523809523809523
"Albert Embankment, Vauxhall_OLD",7,1.7884615384615385
"Albert Embankment, Vauxhall_OLD",8,2.710843373493976
"Albert Embankment, Vauxhall_OLD",9,3.0714285714285716
"Albert Embankment, Vauxhall_OLD",10,1.5833333333333333
"Albert Embankment, Vauxhall_OLD",11,1.2448979591836735
"Albert Embankment, Vauxhall_OLD",12,1.45
"Albert Embankment, Vauxhall_OLD",13,1.5
"Albert Embankment, Vauxhall_OLD",14,1.509433962264151
"Albert Embankment, Vauxhall_OLD",15,1.673913043478261
"Albert Embankment, Vauxhall_OLD",16,1.3461538461538463
"Albert Embankment, Vauxhall_OLD",17,2.081967213114754
"Albert Embankment, Vauxhall_OLD",18,2.3934426229508197
"Albert Embankment, Vauxhall_OLD",19,2.1206896551724137
"Albert Embankment, Vauxhall_OLD",20,1.6222222222222222
"Albert Embankment, Vauxhall_OLD",21,1.125
"Albert Embankment, Vauxhall_OLD",22,1.3888888888888888
"Albert Embankment, Vauxhall_OLD",23,1.2380952380952381
"Albert Gardens, Stepney",0,1.5922330097087378
"Albert Gardens, Stepney",1,1.2622950819672132
"Albert Gardens, Stepney",2,1.1
"Albert Gardens, Stepney",3,1.1818181818181819
"Albert Gardens, Stepney",4,1.0
"Albert Gardens, Stepney",5,1.0909090909090908
"Albert Gardens, Stepney",6,1.0909090909090908
"Albert Gardens, Stepney",7,1.1951219512195121
"Albert Gardens, Stepney",8,1.3146067415730338
"Albert Gardens, Stepney",9,1.4460431654676258
"Albert Gardens, Stepney",10,1.2637362637362637
"Albert Gardens, Stepney",11,1.3068181818181819
"Albert Gardens, Stepney",12,1.477124183006536
"Albert Gardens, Stepney",13,1.4416666666666667
"Albert Gardens, Stepney",14,1.844311377245509
"Albert Gardens, Stepney",15,2.005235602094241
"Albert Gardens, Stepney",16,1.85
"Albert Gardens, Stepney",17,3.25
"Albert Gardens, Stepney",18,3.607142857142857
"Albert Gardens, Stepney",19,2.453271028037383
"Albert Gardens, Stepney",20,2.2263157894736842
"Albert Gardens, Stepney",21,2.188888888888889
"Albert Gardens, Stepney",22,1.7792207792207793
"Albert Gardens, Stepney",23,1.5954198473282444
"Albert Gate, Hyde Park",0,1.736842105263158
"Albert Gate, Hyde Park",1,2.142857142857143
"Albert Gate, Hyde Park",4,1.2
"Albert Gate, Hyde Park",5,1.2790697674418605
"Albert Gate, Hyde Park",6,1.3952095808383234
"Albert Gate, Hyde Park",7,2.702439024390244
"Albert Gate, Hyde Park",8,8.974576271186441
"Albert Gate, Hyde Park",9,6.406779661016949
"Albert Gate, Hyde Park",10,4.441860465116279
"Albert Gate, Hyde Park",11,5.554545454545455
"Albert Gate, Hyde Park",12,6.9375
"Albert Gate, Hyde Park",13,7.595454545454546
"Albert Gate, Hyde Park",14,7.707423580786026
"Albert Gate, Hyde Park",15,8.20704845814978
"Albert Gate, Hyde Park",16,7.515555555555555
"Albert Gate, Hyde Park",17,7.587155963302752
"Albert Gate, Hyde Park",18,6.5046728971962615
"Albert Gate, Hyde Park",19,4.9222222222222225
"Albert Gate, Hyde Park",20,4.244755244755245
"Albert Gate, Hyde Park",21,3.514851485148515
"Albert Gate, Hyde Park",22,2.212121212121212
"Albert Gate, Hyde Park",23,1.6578947368421053
"Albert Square, Stockwell",0,1.2619047619047619
"Albert Square, Stockwell",1,1.0
"Albert Square, Stockwell",2,1.0714285714285714
"Albert Square, Stockwell",3,1.1428571428571428
"Albert Square, Stockwell",4,1.0
"Albert Square, Stockwell",5,1.0344827586206897
"Albert Square, Stockwell",6,1.065217391304348
"Albert Square, Stockwell",7,1.2666666666666666
"Albert Square, Stockwell",8,1.8114285714285714
"Albert Square, Stockwell",9,1.5555555555555556
"Albert Square, Stockwell",10,1.4018691588785046
"Albert Square, Stockwell",11,1.5069444444444444
"Albert Square, Stockwell",12,1.713375796178344
"Albert Square, Stockwell",13,1.614864864864865
"Albert Square, Stockwell",14,1.7837837837837838
"Albert Square, Stockwell",15,2.0
"Albert Square, Stockwell",16,2.5355450236966823
"Albert Square, Stockwell",17,3.5442477876106193
"Albert Square, Stockwell",18,4.757709251101321
"Albert Square, Stockwell",19,3.625
"Albert Square, Stockwell",20,2.522167487684729
"Albert Square, Stockwell",21,2.1839080459770117
"Albert Square, Stockwell",22,1.9271523178807948
"Albert Square, Stockwell",23,1.5454545454545454
"Albert Street, Camden Town",0,1.3333333333333333
"Albert Street, Camden Town",1,1.0
"Albert Street, Camden Town",7,1.0
"Albert Street, Camden Town",8,1.3055555555555556
"Albert Street, Camden Town",9,1.3076923076923077
"Albert Street, Camden Town",10,1.3333333333333333
"Albert Street, Camden Town",11,1.5714285714285714
"Albert Street, Camden Town",12,1.8
"Albert Street, Camden Town",13,1.411764705882353
"Albert Street, Camden Town",14,1.3333333333333333
"Albert Street, Camden Town",15,1.7727272727272727
"Albert Street, Camden Town",16,1.5416666666666667
"Albert Street, Camden Town",17,1.7297297297297298
"Albert Street, Camden Town",18,2.1794871794871793
"Albert Street, Camden Town",19,1.5517241379310345
"Albert Street, Camden Town",20,1.411764705882353
"Albert Street, Camden Town",21,1.2857142857142858
"Albert Street, Camden Town",22,1.1
"Albert Street, Camden Town",23,1.2
"Alderney Street, Pimlico",0,1.2619047619047619
"Alderney Street, Pimlico",1,1.105263157894737
"Alderney Street, Pimlico",2,1.0666666666666667
"Alderney Street, Pimlico",3,1.1538461538461537
"Alderney Street, Pimlico",4,1.0
"Alderney Street, Pimlico",5,1.0769230769230769
"Alderney Street, Pimlico",6,1.0444444444444445
"Alderney Street, Pimlico",7,1.4962962962962962
"Alderney Street, Pimlico",8,2.1121951219512196
"Alderney Street, Pimlico",9,1.8333333333333333
"Alderney Street, Pimlico",10,1.7674418604651163
"Alderney Street, Pimlico",11,2.0939226519337018
"Alderney Street, Pimlico",12,2.2615384615384615
"Alderney Street, Pimlico",13,2.539906103286385
"Alderney Street, Pimlico",14,2.522935779816514
"Alderney Street, Pimlico",15,2.3284313725490198
"Alderney Street, Pimlico",16,3.03056768558952
"Alderney Street, Pimlico",17,3.871244635193133
"Alderney Street, Pimlico",18,3.9598214285714284
"Alderney Street, Pimlico",19,3.1566820276497696
"Alderney Street, Pimlico",20,2.4022346368715084
"Alderney Street, Pimlico",21,2.1636363636363636
"Alderney Street, Pimlico",22,1.945945945945946
"Alderney Street, Pimlico",23,1.5212765957446808
"Aldersgate Street, Barbican",0,1.3125
"Aldersgate Street, Barbican",1,1.1538461538461537
"Aldersgate Street, Barbican",2,1.25
"Aldersgate Street, Barbican",3,1.3
"Aldersgate Street, Barbican",4,1.1666666666666667
"Aldersgate Street, Barbican",5,1.0384615384615385
"Aldersgate Street, Barbican",6,3.6946902654867255
"Aldersgate Street, Barbican",7,5.318777292576419
"Aldersgate Street, Barbican",8,8.389830508474576
"Aldersgate Street, Barbican",9,6.114406779661017
"Aldersgate Street, Barbican",10,2.736111111111111
"Aldersgate Street, Barbican",11,2.4413145539906105
"Aldersgate Street, Barbican",12,2.5429864253393664
"Aldersgate Street, Barbican",13,2.519607843137255
"Aldersgate Street, Barbican",14,2.4465116279069767
"Aldersgate Street, Barbican",15,2.608294930875576
"Aldersgate Street, Barbican",16,2.9078341013824884
"Aldersgate Street, Barbican",17,5.369098712446352
"Aldersgate Street, Barbican",18,6.1440677966101696
"Aldersgate Street, Barbican",19,3.623318385650224
"Aldersgate Street, Barbican",20,2.430051813471503
"Aldersgate Street, Barbican",21,1.9545454545454546
