station,hour,dropoff_count
"Albany Street, The Regent's Park",21,1.7391304347826086
"Albany Street, The Regent's Park",22,1.6511627906976745
"Albany Street, The Regent's Park",23,1.5853658536585367
"Albert Bridge Road, Battersea Park",0,1.4285714285714286
"Albert Bridge Road, Battersea Park",1,1.0833333333333333
"Albert Bridge Road, Battersea Park",2,1.1818181818181819
"Albert Bridge Road, Battersea Park",3,1.125
"Albert Bridge Road, Battersea Park",4,1.0909090909090908
"Albert Bridge Road, Battersea Park",5,1.0
"Albert Bridge Road, Battersea Park",6,1.0
"Albert Bridge Road, Battersea Park",7,1.1428571428571428
"Albert Bridge Road, Battersea Park",8,1.5263157894736843
"Albert Bridge Road, Battersea Park",9,2.0526315789473686
"Albert Bridge Road, Battersea Park",10,2.1791044776119404
"Albert Bridge Road, Battersea Park",11,2.4683544303797467
"Albert Bridge Road, Battersea Park",12,2.8795180722891565
"Albert Bridge Road, Battersea Park",13,3.2375
"Albert Bridge Road, Battersea Park",14,3.1645569620253164
"Albert Bridge Road, Battersea Park",15,3.575
"Albert Bridge Road, Battersea Park",16,3.3012048192771086
"Albert Bridge Road, Battersea Park",17,3.259259259259259
"Albert Bridge Road, Battersea Park",18,3.026666666666667
"Albert Bridge Road, Battersea Park",19,2.295774647887324
"Albert Bridge Road, Battersea Park",20,2.1481481481481484
"Albert Bridge Road, Battersea Park",21,2.05
"Albert Bridge Road, Battersea Park",22,1.878787878787879
"Albert Bridge Road, Battersea Park",23,1.6944444444444444
"Albert Embankment, Vauxhall",0,1.4166666666666667
"Albert Embankment, Vauxhall",1,1.6
"Albert Embankment, Vauxhall",2,1.25
"Albert Embankment, Vauxhall",3,1.0
"Albert Embankment, Vauxhall",4,2.0
"Albert Embankment, Vauxhall",5,1.0
"Albert Embankment, Vauxhall",6,1.0
"Albert Embankment, Vauxhall",7,1.0
"Albert Embankment, Vauxhall",8,1.3333333333333333
"Albert Embankment, Vauxhall",9,1.5263157894736843
"Albert Embankment, Vauxhall",10,1.5714285714285714
"Albert Embankment, Vauxhall",11,1.92
"Albert Embankment, Vauxhall",12,1.8043478260869565
"Albert Embankment, Vauxhall",13,2.5384615384615383
"Albert Embankment, Vauxhall",14,2.022222222222222
"Albert Embankment, Vauxhall",15,2.0555555555555554
"Albert Embankment, Vauxhall",16,2.142857142857143
"Albert Embankment, Vauxhall",17,2.142857142857143
"Albert Embankment, Vauxhall",18,2.1315789473684212
"Albert Embankment, Vauxhall",19,2.3529411764705883
"Albert Embankment, Vauxhall",20,1.7741935483870968
"Albert Embankment, Vauxhall",21,1.3636363636363635
"Albert Embankment, Vauxhall",22,1.8636363636363635
"Albert Embankment, Vauxhall",23,1.7222222222222223
"Albert Embankment, Vauxhall_OLD",0,1.75
"Albert Embankment, Vauxhall_OLD",1,1.0
"Albert Embankment, Vauxhall_OLD",2,1.25
"Albert Embankment, Vauxhall_OLD",3,1.0
"Albert Embankment, Vauxhall_OLD",4,1.25
"Albert Embankment, Vauxhall_OLD",5,1.0
"Albert Embankment, Vauxhall_OLD",6,1.0909090909090908
"Albert Embankment, Vauxhall_OLD",7,1.1818181818181819
"Albert Embankment, Vauxhall_OLD",8,1.1818181818181819
"Albert Embankment, Vauxhall_OLD",9,1.25
"Albert Embankment, Vauxhall_OLD",10,1.6923076923076923
"Albert Embankment, Vauxhall_OLD",11,1.5294117647058822
"Albert Embankment, Vauxhall_OLD",12,1.8181818181818181
"Albert Embankment, Vauxhall_OLD",13,1.9
"Albert Embankment, Vauxhall_OLD",14,2.1666666666666665
"Albert Embankment, Vauxhall_OLD",15,1.9166666666666667
"Albert Embankment, Vauxhall_OLD",16,1.75
"Albert Embankment, Vauxhall_OLD",17,2.4375
"Albert Embankment, Vauxhall_OLD",18,1.6111111111111112
"Albert Embankment, Vauxhall_OLD",19,1.7857142857142858
"Albert Embankment, Vauxhall_OLD",20,1.4666666666666666
"Albert Embankment, Vauxhall_OLD",21,1.4166666666666667
"Albert Embankment, Vauxhall_OLD",22,1.2142857142857142
"Albert Embankment, Vauxhall_OLD",23,1.25
"Albert Gardens, Stepney",0,1.873015873015873
"Albert Gardens, Stepney",1,1.697674418604651
"Albert Gardens, Stepney",2,1.8461538461538463
"Albert Gardens, Stepney",3,1.1714285714285715
"Albert Gardens, Stepney",4,1.1428571428571428
"Albert Gardens, Stepney",5,1.25
"Albert Gardens, Stepney",6,1.1666666666666667
"Albert Gardens, Stepney",7,1.2857142857142858
"Albert Gardens, Stepney",8,1.1818181818181819
"Albert Gardens, Stepney",9,1.0
"Albert Gardens, Stepney",10,1.3783783783783783
"Albert Gardens, Stepney",11,1.5
"Albert Gardens, Stepney",12,1.5918367346938775
"Albert Gardens, Stepney",13,1.9
"Albert Gardens, Stepney",14,2.3333333333333335
"Albert Gardens, Stepney",15,1.953125
"Albert Gardens, Stepney",16,2.3846153846153846
