station,total_pickup,total_dropoff,net_flow,latitude,longitude,cluster_id,type
"Buxton Street 1, Shoreditch",4946.0,4129,817.0,51.5220529,-0.0713792999999999,4,weekend
"Cadogan Close, Victoria Park",9534.0,7740,1794.0,51.53734559999999,-0.0366997,0,weekend
"Cadogan Gardens, Chelsea",15547.0,13123,2424.0,51.4929977,-0.1593749,1,weekend
"Cadogan Place, Knightsbridge",7453.0,7164,289.0,51.4979553,-0.1578332,1,weekday
"Caldwell Street, Stockwell",12388.0,9421,2967.0,51.4769593,-0.1148282,3,weekday
"Calshot Street , King's Cross",5105.0,3572,1533.0,51.5328681,-0.1172651,5,weekday
"Camley Street, Camden Town",3172.0,2174,998.0,51.5379276,-0.1304716,5,weekday
"Campden Hill Road, Notting Hill",5410.0,3676,1734.0,51.506505,-0.1988851,2,weekend
"Canada Water Station, Rotherhithe",15354.0,12718,2636.0,51.49798999999999,-0.049693,0,weekend
"Canton Street, Poplar",6011.0,4550,1461.0,51.5123178,-0.0229977,0,weekend
"Cantrell Road, Bow",2832.0,2085,747.0,51.5216449,-0.0269045,0,weekday
"Carey Street, Holborn",7708.0,6751,957.0,51.5148904,-0.1135442,3,weekday
"Carnegie Street, King's Cross",6841.0,4356,2485.0,51.5354445,-0.1151676,4,weekend
"Cartwright Gardens , Bloomsbury",11804.0,9163,2641.0,51.527303,-0.1268644,5,weekday
"Castlehaven Road, Camden Town",16261.0,12247,4014.0,51.5432566,-0.1442121,5,weekend
"Central House, Aldgate",14601.0,11781,2820.0,51.5134432,-0.0772521,4,weekday
"Cephas Street, Bethnal Green",9670.0,7254,2416.0,51.5231961,-0.0513721,0,weekday
"Chadwell Street, Angel",12034.0,8815,3219.0,51.5304593,-0.1064857,4,weekday
"Chancery Lane, Holborn",742.0,754,-12.0,51.5182067,-0.1114984,3,weekday
"Chapel Place, Marylebone",12478.0,10812,1666.0,51.5153505,-0.1467786,5,weekday
"Charing Cross Hospital, Hammersmith",11284.0,9582,1702.0,51.4868889,-0.2195543,2,weekday
"Charlbert Street, St. John's Wood",7283.0,5206,2077.0,51.534024,-0.1676802,5,weekend
"Charles II Street, West End",10791.0,10186,605.0,51.507976,-0.1331401,3,weekday
"Charlotte Street, Fitzrovia",9183.0,7730,1453.0,51.5196771,-0.1359906,5,weekday
"Charlotte Terrace, Angel",7947.0,4901,3046.0,51.5359783,-0.112966,4,weekday
"Cheapside, Bank",28353.0,24373,3980.0,51.5142026,-0.0946099,4,weekday
"Chelsea Bridge, Pimlico",6878.0,6425,453.0,51.4844572,-0.1497645,1,weekend
"Chelsea Green, Chelsea",7870.0,6515,1355.0,51.4907485,-0.166043,1,weekday
"Chepstow Villas, Notting Hill",9961.0,6982,2979.0,51.5132327,-0.1992946,2,weekend
"Cheshire Street, Bethnal Green",7988.0,5926,2062.0,51.5236585,-0.06866,4,weekday
"Chesilton Road, Fulham",10594.0,8556,2038.0,51.4764775,-0.2063374,2,weekday
"Chicheley Street, South Bank",18418.0,15667,2751.0,51.502764,-0.1167563,3,weekday
"Chrisp Street Market, Poplar",5673.0,4743,930.0,51.5125477,-0.0145827,0,weekend
"Christian Street, Whitechapel",11563.0,8280,3283.0,51.5128323,-0.0641487,4,weekday
"Christopher Street, Liverpool Street",7761.0,7664,97.0,51.5213193,-0.0846,4,weekday
"City Road, Angel",9411.0,6569,2842.0,51.5314382,-0.1041112,4,weekday
"Clapham Common North Side, Clapham Common",8930.0,6192,2738.0,51.4613396,-0.1485115,1,weekend
"Clapham Common Station, Clapham Common",20684.0,16326,4358.0,51.4616404,-0.1402519,1,weekend
"Clapham Road, Lingham Street, Stockwell",4198.0,3311,887.0,51.4707657,-0.1242038,3,weekend
"Clapham South, Clapham South",9174.0,6727,2447.0,51.4527773,-0.1487892,1,weekend
"Claremont Square, Angel",6644.0,3954,2690.0,51.5312201,-0.1103429,4,weekday
"Clarence Walk, Stockwell",6098.0,4622,1476.0,51.4709614,-0.1267343,3,weekend
"Clarendon Road, Avondale",4812.0,3728,1084.0,51.5847753,-0.095817,4,weekend
"Clarges Street, Mayfair",5347.0,5293,54.0,51.507024,-0.1453584,5,weekday
"Clarkson Street, Bethnal Green",6875.0,5201,1674.0,51.5292553,-0.0590921,4,weekday
"Claverton Street, Pimlico",9520.0,6962,2558.0,51.4863665,-0.1377449,3,weekday
"Cleaver Street, Kennington",6278.0,5005,1273.0,51.488293,-0.1102906,3,weekday
"Clements Road, Bermondsey",4459.0,3903,556.0,51.4952866,-0.0627222,4,weekday
"Clerkenwell Green, Clerkenwell",15804.0,13024,2780.0,51.522746,-0.1060495,4,weekday
"Cleveland Gardens, Bayswater",8401.0,5467,2934.0,51.5153812,-0.1834048,2,weekday
"Cleveland Way, Stepney",20331.0,16436,3895.0,51.5217784,-0.0528557,0,weekday
"Clifford Street, Mayfair",6739.0,8022,-1283.0,51.5108372,-0.1419656,5,weekday
"Clifton Road, Maida Vale",12009.0,8663,3346.0,51.525668,-0.1792056,5,weekday
"Clifton Street, Shoreditch",6254.0,5152,1102.0,51.5231609,-0.0830989,4,weekday
"Clinton Road, Mile End",7078.0,5798,1280.0,51.5259284,-0.0361264,0,weekend
"Cloudesley Road, Angel",9414.0,4786,4628.0,51.5344372,-0.1089551,4,weekday
"Colet Gardens, Hammersmith",1698.0,1485,213.0,51.4924207,-0.2165853,2,weekend
"Collingham Gardens, Earl's Court",11053.0,8423,2630.0,51.4916314,-0.1885382,2,weekday
"Colombo Street, Southwark",2548.0,2072,476.0,51.5058511,-0.1052108,3,weekday
"Columbia Road, Shoreditch",14332.0,11365,2967.0,51.5284347,-0.0714345,4,weekday
"Commercial Street, Shoreditch",7902.0,6534,1368.0,51.5225859,-0.0771778,4,weekend
"Concert Hall Approach 1, South Bank",5894.0,5266,628.0,51.5045613,-0.1146311,3,weekday
"Concert Hall Approach 2, South Bank",4215.0,3862,353.0,51.5049603,-0.1155194,3,weekday
"Coomer Place, West Kensington",14031.0,11698,2333.0,51.4835926,-0.2016654,2,weekday
"Copper Box Arena, Queen Elizabeth Olympic Park",9069.0,7479,1590.0,51.5443004,-0.0198937,0,weekend
"Coram Street, Bloomsbury",9795.0,7397,2398.0,51.5241283,-0.125804,5,weekday
"Cotton Garden Estate, Kennington",7167.0,5565,1602.0,51.4908805,-0.1072867,3,weekday
"Courland Grove, Wandsworth Road",10541.0,8142,2399.0,51.4744307,-0.1324066,3,weekday
"Crabtree Lane, Fulham",7924.0,6738,1186.0,51.4822823,-0.2211579,2,weekday
"Cranmer Road, Stockwell",15793.0,13033,2760.0,51.4795064,-0.1097508,3,weekday
"Craven Street, Strand",27443.0,23177,4266.0,51.50817079999999,-0.1261651,3,weekday
"Crawford Street, Marylebone",14853.0,12134,2719.0,51.5196005,-0.160651,5,weekday
"Crimscott Street, Bermondsey",11257.0,8898,2359.0,51.4945554,-0.0794946,4,weekday
"Crinan Street, King's Cross",4806.0,3692,1114.0,51.5345261,-0.1223062,5,weekday
"Crisp Road, Hammersmith",12333.0,10318,2015.0,51.4885423,-0.2271247,2,weekend
"Cromer Street, Bloomsbury",7717.0,6041,1676.0,51.5278555,-0.1219831,5,weekday
"Crosswall, Tower",25172.0,22060,3112.0,51.5115931,-0.0760858,4,weekday
"Culvert Road, Battersea",4703.0,3668,1035.0,51.4714946,-0.1585714,1,weekday
"Curlew Street, Shad Thames",18440.0,15193,3247.0,51.50327249999999,-0.0730904,4,weekday
"Curzon Street, Mayfair",8417.0,8593,-176.0,51.5067122,-0.147914,5,weekday
"Danvers Street, West Chelsea",7450.0,5909,1541.0,51.4831629,-0.1727211,1,weekend
"De Vere Gardens, Kensington",12255.0,8755,3500.0,51.5007076,-0.1849506,2,weekend
"Denyer Street, Knightsbridge",7686.0,6291,1395.0,51.4933797,-0.1653488,1,weekday
"Derry Street, Kensington",24294.0,20381,3913.0,51.5010269,-0.1911066,2,weekday
"Devons Road, Bow",6663.0,5419,1244.0,51.5227796,-0.0173708,0,weekend
"Devonshire Terrace, Bayswater",16323.0,11332,4991.0,51.5141293,-0.1804152,5,weekday
"Dickens Square, Borough",7148.0,5585,1563.0,51.4976629,-0.0937551,4,weekday
"Disraeli Road, Putney",6741.0,5322,1419.0,51.4610822,-0.2133073,2,weekday
"Dock Street, Wapping",14459.0,11174,3285.0,51.5099983,-0.0681644,4,weekday
"Doddington Grove, Kennington",11085.0,8371,2714.0,51.4860436,-0.103853,3,weekday
"Doric Way , Somers Town",15077.0,10727,4350.0,51.5290871,-0.1317189,5,weekday
"Dorothy Road, Clapham Junction",8540.0,6693,1847.0,51.4653271,-0.16374,1,weekend
"Dorset Square, Marylebone",17148.0,14022,3126.0,51.5225793,-0.1608981,5,weekday
"Drayton Gardens, West Chelsea",21615.0,18331,3284.0,51.4887274,-0.1812076,1,weekday
"Driffield Road, Old Ford",10032.0,7314,2718.0,51.5328531,-0.0365834,0,weekend
"Drummond Street , Euston",8188.0,5386,2802.0,51.5280408,-0.1333271,5,weekday
"Drury Lane, Covent Garden",20317.0,18046,2271.0,51.514273,-0.12142,3,weekday
"Duke Street Hill, London Bridge",36128.0,31774,4354.0,51.5058624,-0.0869692,4,weekday
"Dunston Road , Haggerston",16533.0,12694,3839.0,51.5363883,-0.0745245,4,weekend
"Durant Street, Bethnal Green",11481.0,8264,3217.0,51.5291646,-0.0661299,4,weekday
"Eagle Wharf Road, Hoxton",24756.0,17370,7386.0,51.5342506,-0.0912744,4,weekday
"Earnshaw Street , Covent Garden",16966.0,14275,2691.0,51.5161557,-0.1287025,5,weekday
"East Ferry Road, Cubitt Town",3312.0,2694,618.0,51.4935216,-0.0144401,0,weekend
"East India DLR, Blackwall",5671.0,4858,813.0,51.5093311,-0.0022067,0,weekend
"East Road, Hoxton",10740.0,7443,3297.0,51.5290576,-0.0873818,4,weekday
"East Village, Queen Elizabeth Olympic Park",11622.0,9498,2124.0,51.5439614,-0.0152116,0,weekend
"Eastbourne Mews, Paddington",18017.0,15650,2367.0,51.5165353,-0.1793443,5,weekday
"Eaton Square (South), Belgravia",6811.0,6029,782.0,51.4960293,-0.1514237,1,weekend
"Eaton Square, Belgravia",62.0,66,-4.0,51.4960293,-0.1514237,1,weekday
"Ebury Bridge, Pimlico",9671.0,7560,2111.0,51.4885727,-0.1454466,1,weekday
"Eccleston Place, Victoria",20996.0,17504,3492.0,51.494371,-0.1475049,1,weekday
"Edgware Road Station, Marylebone",12983.0,9232,3751.0,51.51988249999999,-0.1678336,5,weekday
"Eel Brook Common, Walham Green",6839.0,5492,1347.0,51.4768167,-0.195155,2,weekday
"Elgin Avenue, Maida Hill",9203.0,7088,2115.0,51.5290623,-0.1879712,5,weekend
"Elizabeth Bridge, Victoria",13127.0,12425,702.0,51.4922626,-0.1469005,1,weekday
"Elysium Place, Fulham",4542.0,3548,994.0,51.4713646,-0.207188,2,weekend
"Embankment (Savoy), Strand",8777.0,7880,897.0,51.5101494,-0.1205205,3,weekend
"Emperor's Gate, South Kensington",12326.0,9824,2502.0,51.4959366,-0.1859432,2,weekday
"Empire Square, The Borough",14834.0,12054,2780.0,51.5009236,-0.0910406,4,weekday
"Endsleigh Gardens, Euston",16616.0,12830,3786.0,51.526462,-0.1315729,5,weekday
"Erin Close, Walham Green",10071.0,8561,1510.0,51.4796003,-0.1958041,2,weekday
"Esmond Street, Putney",2242.0,1807,435.0,51.4621078,-0.2105407,2,weekend
"Ethelburga Estate, Battersea Park",22120.0,17242,4878.0,51.4769725,-0.1677634,1,weekday
"Euston Road, Euston",6111.0,4988,1123.0,51.5280408,-0.1333271,5,weekday
"Euston Square Gardens, Euston",9068.0,7743,1325.0,51.5270631,-0.1324874,5,weekday
"Everington Street, Fulham",7265.0,5939,1326.0,51.4841942,-0.2164146,2,weekday
"Eversholt Street , Camden Town",8920.0,7018,1902.0,51.5312385,-0.1350598,5,weekday
"Evesham Street, Avondale",3008.0,2799,209.0,51.5110902,-0.2184972,2,weekend
"Exhibition Road Museums 1, South Kensington",11054.0,10084,970.0,51.4981988,-0.1740827,1,weekend
"Exhibition Road Museums 2, South Kensington",9700.0,8819,881.0,51.4981988,-0.1740827,1,weekend
"Exhibition Road, Knightsbridge",32155.0,33769,-1614.0,51.4993035,-0.1742879,1,weekday
"Falcon Road, Clapham Junction",18273.0,15778,2495.0,51.4646378,-0.169492,1,weekday
"Falkirk Street, Hoxton",9599.0,7544,2055.0,51.5307861,-0.0786367,4,weekday
"Fanshaw Street, Hoxton",15878.0,11320,4558.0,51.5297484,-0.0819433,4,weekday
"Farm Street, Mayfair",5448.0,5434,14.0,51.5094097,-0.1484199,5,weekday
"Farringdon Lane, Clerkenwell",9098.0,7474,1624.0,51.5230428,-0.1072731,4,weekday
"Farringdon Street, Holborn",10288.0,8427,1861.0,51.5187408,-0.1053437,4,weekday
"Fashion Street, Whitechapel",7711.0,6833,878.0,51.5184244,-0.0730793,4,weekend
"Fawcett Close, Battersea",4719.0,3567,1152.0,51.4692527,-0.174222,1,weekday
"Felsham Road, Putney",6918.0,5740,1178.0,51.4661767,-0.2204651,2,weekend
"Ferndale Road, Brixton",12662.0,10420,2242.0,51.4627752,-0.1220192,3,weekend
"Finlay Street, Fulham",9909.0,7778,2131.0,51.4756933,-0.2180768,2,weekend
"Finnis Street, Bethnal Green",6504.0,4795,1709.0,51.5249543,-0.0586402,4,weekday
"Finsbury Circus, Liverpool Street",22301.0,22661,-360.0,51.5178302,-0.0864057999999999,4,weekday
"Finsbury Leisure Centre, St. Luke's",19645.0,15128,4517.0,51.5259571,-0.0952847999999999,4,weekday
"Finsbury Library , Finsbury",7844.0,6203,1641.0,51.5263331,-0.1041707,4,weekday
"Finsbury Square , Moorgate",11992.0,11136,856.0,51.52131,-0.0865401,4,weekday
"Fire Brigade Pier, Vauxhall",8839.0,6398,2441.0,51.4861671,-0.12172,3,weekday
"Fisherman's Walk West, Canary Wharf",8583.0,6895,1688.0,51.5063037,-0.0221721,0,weekend
"Flamborough Street, Limehouse",17716.0,14147,3569.0,51.5134463,-0.0390321,0,weekend
"Flood Street, Chelsea",21112.0,17569,3543.0,51.48623,-0.1653464,1,weekday
"Foley Street, Fitzrovia",12932.0,10659,2273.0,51.5196254,-0.1395022,5,weekday
"Ford Road, Old Ford",9015.0,7187,1828.0,51.532349,-0.0329916,0,weekday
"Fore Street Avenue, Guildhall",7407.0,8172,-765.0,51.5159245,-0.0913715,4,weekday
"Fore Street, Guildhall",9422.0,9458,-36.0,51.5159245,-0.0913715,4,weekday
"Fournier Street, Whitechapel",15828.0,12595,3233.0,51.5192762,-0.0732251,4,weekend
"Frampton Street, Paddington",9567.0,7171,2396.0,51.5246914,-0.1730147,5,weekday
"Freston Road, Avondale",4071.0,3567,504.0,51.5119155,-0.218444,2,weekend
"Frith Street, Soho",13746.0,11577,2169.0,51.5137213,-0.1315808,5,weekend
"Fulham Broadway, Walham Green",23666.0,19719,3947.0,51.4803328,-0.1943638,2,weekday
"Fulham Park Road, Fulham",9168.0,7255,1913.0,51.4725748,-0.2073259,2,weekend
"Furze Green, Bow",12370.0,9590,2780.0,51.5182927,-0.0214109,0,weekday
"Garnet Street, Shadwell",9295.0,6675,2620.0,51.5077866,-0.055023,0,weekday
"Gas Holders, Battersea Park",21324.0,17721,3603.0,51.4791075,-0.1564981,1,weekday
"Gascoyne Road, Victoria Park",9959.0,7810,2149.0,51.5421379,-0.040653,0,weekend
"Gauden Road, Clapham",14722.0,11179,3543.0,51.4672229,-0.1324913,3,weekend
"Gaywood  Street, Elephant & Castle",9763.0,7893,1870.0,51.4961424,-0.1028083,3,weekday
"George Place Mews, Marylebone",8299.0,7009,1290.0,51.5170972,-0.1575256,5,weekday
"George Row, Bermondsey",13959.0,11412,2547.0,51.4989543,-0.0690372,4,weekday
"George Street, Marylebone",11935.0,10763,1172.0,51.5170972,-0.1575256,5,weekday
"Geraldine Street, Elephant & Castle",4664.0,3603,1061.0,51.4960296,-0.1060327,3,weekday
"Globe Town Market, Bethnal Green",10726.0,8358,2368.0,51.5284692,-0.0473329,0,weekend
"Gloucester Avenue, Camden Town",8651.0,6555,2096.0,51.5400273,-0.1504239,5,weekend
"Gloucester Road (Central), South Kensington",7821.0,6368,1453.0,51.4952605,-0.1829241,1,weekday
"Gloucester Road (North), Kensington",13084.0,10997,2087.0,51.4952605,-0.1829241,1,weekday
"Gloucester Road Station, South Kensington",23309.0,19488,3821.0,51.4942686,-0.1828493,1,weekday
"Gloucester Street, Pimlico",13679.0,9412,4267.0,51.489194,-0.1414396,3,weekday
"Gloucester Terrace, Bayswater",9458.0,6747,2711.0,51.5141818,-0.1789923,5,weekday
"Godliman Street, St. Paul's",13145.0,11475,1670.0,51.5138453,-0.0983506,4,weekday
