station,hour,pickup_count
"Abingdon Villas, Kensington",14,1.5793103448275863
"Abingdon Villas, Kensington",15,1.4565217391304348
"Abingdon Villas, Kensington",16,1.7083333333333333
"Abingdon Villas, Kensington",17,2.0594059405940595
"Abingdon Villas, Kensington",18,2.269767441860465
"Abingdon Villas, Kensington",19,1.7668711656441718
"Abingdon Villas, Kensington",20,1.5603448275862069
"Abingdon Villas, Kensington",21,1.3235294117647058
"Abingdon Villas, Kensington",22,1.175
"Abingdon Villas, Kensington",23,1.2
"Ackroyd Drive, Bow",0,1.2142857142857142
"Ackroyd Drive, Bow",1,1.3333333333333333
"Ackroyd Drive, Bow",2,2.0
"Ackroyd Drive, Bow",3,1.2
"Ackroyd Drive, Bow",4,1.1666666666666667
"Ackroyd Drive, Bow",5,1.2777777777777777
"Ackroyd Drive, Bow",6,3.431654676258993
"Ackroyd Drive, Bow",7,5.601449275362318
"Ackroyd Drive, Bow",8,7.456521739130435
"Ackroyd Drive, Bow",9,3.3095238095238093
"Ackroyd Drive, Bow",10,1.8274111675126903
"Ackroyd Drive, Bow",11,1.7150537634408602
"Ackroyd Drive, Bow",12,2.146788990825688
"Ackroyd Drive, Bow",13,1.7745098039215685
"Ackroyd Drive, Bow",14,1.6111111111111112
"Ackroyd Drive, Bow",15,1.8407960199004976
"Ackroyd Drive, Bow",16,2.3179916317991633
"Ackroyd Drive, Bow",17,3.78021978021978
"Ackroyd Drive, Bow",18,3.0311284046692606
"Ackroyd Drive, Bow",19,2.3593073593073592
"Ackroyd Drive, Bow",20,1.5241379310344827
"Ackroyd Drive, Bow",21,1.3980582524271845
"Ackroyd Drive, Bow",22,1.3529411764705883
"Ackroyd Drive, Bow",23,1.2325581395348837
"Ada Street, Hackney Central",0,1.1666666666666667
"Ada Street, Hackney Central",1,1.1428571428571428
"Ada Street, Hackney Central",2,1.25
"Ada Street, Hackney Central",3,1.0
"Ada Street, Hackney Central",4,1.5
"Ada Street, Hackney Central",5,1.0
"Ada Street, Hackney Central",6,1.2897196261682242
"Ada Street, Hackney Central",7,2.6305220883534135
"Ada Street, Hackney Central",8,5.130111524163569
"Ada Street, Hackney Central",9,3.0166666666666666
"Ada Street, Hackney Central",10,1.7127659574468086
"Ada Street, Hackney Central",11,1.7245508982035929
"Ada Street, Hackney Central",12,1.761111111111111
"Ada Street, Hackney Central",13,1.9082125603864735
"Ada Street, Hackney Central",14,1.6923076923076923
"Ada Street, Hackney Central",15,1.63125
"Ada Street, Hackney Central",16,2.093137254901961
"Ada Street, Hackney Central",17,2.5403225806451615
"Ada Street, Hackney Central",18,2.89453125
"Ada Street, Hackney Central",19,1.9137055837563453
"Ada Street, Hackney Central",20,1.736842105263158
"Ada Street, Hackney Central",21,1.5669291338582678
"Ada Street, Hackney Central",22,1.44
"Ada Street, Hackney Central",23,1.694915254237288
"Addison Road, Holland Park",0,1.0
"Addison Road, Holland Park",1,1.0
"Addison Road, Holland Park",2,1.0
"Addison Road, Holland Park",4,1.0
"Addison Road, Holland Park",5,1.0
"Addison Road, Holland Park",6,1.1147540983606556
"Addison Road, Holland Park",7,1.576158940397351
"Addison Road, Holland Park",8,3.5826771653543306
"Addison Road, Holland Park",9,2.0555555555555554
"Addison Road, Holland Park",10,1.4122137404580153
"Addison Road, Holland Park",11,1.472
"Addison Road, Holland Park",12,1.4230769230769231
"Addison Road, Holland Park",13,1.3879310344827587
"Addison Road, Holland Park",14,1.4666666666666666
"Addison Road, Holland Park",15,1.9696969696969697
"Addison Road, Holland Park",16,1.5620915032679739
"Addison Road, Holland Park",17,1.7446808510638299
"Addison Road, Holland Park",18,1.6134020618556701
"Addison Road, Holland Park",19,1.5333333333333334
"Addison Road, Holland Park",20,1.33
"Addison Road, Holland Park",21,1.4029850746268657
"Addison Road, Holland Park",22,1.425
"Addison Road, Holland Park",23,1.2727272727272727
"Aintree Street, Fulham",0,1.2666666666666666
"Aintree Street, Fulham",1,1.1666666666666667
"Aintree Street, Fulham",2,1.0
"Aintree Street, Fulham",3,1.1666666666666667
"Aintree Street, Fulham",4,1.3
"Aintree Street, Fulham",5,1.1
"Aintree Street, Fulham",6,1.524390243902439
"Aintree Street, Fulham",7,6.310861423220974
"Aintree Street, Fulham",8,7.55
"Aintree Street, Fulham",9,2.868544600938967
"Aintree Street, Fulham",10,1.6715328467153285
"Aintree Street, Fulham",11,1.7364864864864864
"Aintree Street, Fulham",12,1.7162162162162162
"Aintree Street, Fulham",13,1.7470588235294118
"Aintree Street, Fulham",14,1.6547619047619047
"Aintree Street, Fulham",15,1.5664335664335665
"Aintree Street, Fulham",16,1.698224852071006
"Aintree Street, Fulham",17,2.353711790393013
"Aintree Street, Fulham",18,2.482587064676617
"Aintree Street, Fulham",19,2.1363636363636362
"Aintree Street, Fulham",20,1.7786259541984732
"Aintree Street, Fulham",21,1.3535353535353536
"Aintree Street, Fulham",22,1.393939393939394
"Aintree Street, Fulham",23,1.2881355932203389
"Albany Street, The Regent's Park",0,1.2258064516129032
"Albany Street, The Regent's Park",1,1.1304347826086956
"Albany Street, The Regent's Park",2,1.0
"Albany Street, The Regent's Park",3,1.1666666666666667
"Albany Street, The Regent's Park",4,1.2222222222222223
"Albany Street, The Regent's Park",5,1.1304347826086956
"Albany Street, The Regent's Park",6,1.3227848101265822
"Albany Street, The Regent's Park",7,3.1742424242424243
"Albany Street, The Regent's Park",8,5.35740072202166
"Albany Street, The Regent's Park",9,2.852
"Albany Street, The Regent's Park",10,2.534412955465587
"Albany Street, The Regent's Park",11,2.119815668202765
"Albany Street, The Regent's Park",12,2.091703056768559
"Albany Street, The Regent's Park",13,2.215686274509804
"Albany Street, The Regent's Park",14,2.196078431372549
"Albany Street, The Regent's Park",15,2.3487394957983194
"Albany Street, The Regent's Park",16,2.2951541850220263
"Albany Street, The Regent's Park",17,2.450413223140496
"Albany Street, The Regent's Park",18,2.46218487394958
"Albany Street, The Regent's Park",19,2.3302325581395347
"Albany Street, The Regent's Park",20,1.9735099337748345
"Albany Street, The Regent's Park",21,1.5508474576271187
"Albany Street, The Regent's Park",22,1.6219512195121952
"Albany Street, The Regent's Park",23,1.2037037037037037
"Albert Bridge Road, Battersea Park",0,1.1578947368421053
"Albert Bridge Road, Battersea Park",1,1.375
"Albert Bridge Road, Battersea Park",2,1.0
"Albert Bridge Road, Battersea Park",3,1.0
"Albert Bridge Road, Battersea Park",4,1.2857142857142858
"Albert Bridge Road, Battersea Park",5,1.2153846153846153
"Albert Bridge Road, Battersea Park",6,2.152173913043478
"Albert Bridge Road, Battersea Park",7,7.36
"Albert Bridge Road, Battersea Park",8,5.291970802919708
"Albert Bridge Road, Battersea Park",9,2.3668122270742358
"Albert Bridge Road, Battersea Park",10,1.8522727272727273
"Albert Bridge Road, Battersea Park",11,1.8181818181818181
"Albert Bridge Road, Battersea Park",12,1.8176795580110496
"Albert Bridge Road, Battersea Park",13,1.869281045751634
"Albert Bridge Road, Battersea Park",14,1.687116564417178
"Albert Bridge Road, Battersea Park",15,1.8556149732620322
"Albert Bridge Road, Battersea Park",16,1.9742268041237114
"Albert Bridge Road, Battersea Park",17,2.7467811158798283
"Albert Bridge Road, Battersea Park",18,2.676470588235294
"Albert Bridge Road, Battersea Park",19,2.2857142857142856
"Albert Bridge Road, Battersea Park",20,1.8402366863905326
"Albert Bridge Road, Battersea Park",21,1.6666666666666667
"Albert Bridge Road, Battersea Park",22,1.4807692307692308
"Albert Bridge Road, Battersea Park",23,1.2708333333333333
"Albert Embankment, Vauxhall",0,1.4565217391304348
"Albert Embankment, Vauxhall",1,1.2666666666666666
"Albert Embankment, Vauxhall",2,1.3846153846153846
"Albert Embankment, Vauxhall",3,1.2857142857142858
"Albert Embankment, Vauxhall",4,1.0
"Albert Embankment, Vauxhall",5,1.0
"Albert Embankment, Vauxhall",6,1.1935483870967742
"Albert Embankment, Vauxhall",7,1.56198347107438
"Albert Embankment, Vauxhall",8,2.2337662337662336
"Albert Embankment, Vauxhall",9,2.308139534883721
"Albert Embankment, Vauxhall",10,1.6310679611650485
"Albert Embankment, Vauxhall",11,1.6759259259259258
"Albert Embankment, Vauxhall",12,1.9411764705882353
"Albert Embankment, Vauxhall",13,1.6216216216216217
"Albert Embankment, Vauxhall",14,1.6725663716814159
"Albert Embankment, Vauxhall",15,1.5583333333333333
"Albert Embankment, Vauxhall",16,2.2903225806451615
"Albert Embankment, Vauxhall",17,3.734806629834254
"Albert Embankment, Vauxhall",18,3.6853932584269664
"Albert Embankment, Vauxhall",19,2.2341772151898733
"Albert Embankment, Vauxhall",20,1.8425196850393701
"Albert Embankment, Vauxhall",21,1.7415730337078652
"Albert Embankment, Vauxhall",22,1.4794520547945205
"Albert Embankment, Vauxhall",23,1.631578947368421
"Albert Embankment, Vauxhall_OLD",0,1.7692307692307692
"Albert Embankment, Vauxhall_OLD",1,1.1176470588235294
"Albert Embankment, Vauxhall_OLD",2,1.6666666666666667
"Albert Embankment, Vauxhall_OLD",3,1.2
"Albert Embankment, Vauxhall_OLD",4,1.0
"Albert Embankment, Vauxhall_OLD",5,1.1111111111111112
"Albert Embankment, Vauxhall_OLD",6,1.3898305084745763
"Albert Embankment, Vauxhall_OLD",7,1.625
"Albert Embankment, Vauxhall_OLD",8,2.129032258064516
"Albert Embankment, Vauxhall_OLD",9,2.2794117647058822
"Albert Embankment, Vauxhall_OLD",10,1.6379310344827587
"Albert Embankment, Vauxhall_OLD",11,1.56
"Albert Embankment, Vauxhall_OLD",12,1.8444444444444446
"Albert Embankment, Vauxhall_OLD",13,1.5957446808510638
"Albert Embankment, Vauxhall_OLD",14,1.675
"Albert Embankment, Vauxhall_OLD",15,1.5192307692307692
"Albert Embankment, Vauxhall_OLD",16,1.6956521739130435
"Albert Embankment, Vauxhall_OLD",17,2.625
"Albert Embankment, Vauxhall_OLD",18,3.3947368421052633
"Albert Embankment, Vauxhall_OLD",19,1.953125
"Albert Embankment, Vauxhall_OLD",20,1.3902439024390243
"Albert Embankment, Vauxhall_OLD",21,1.5151515151515151
"Albert Embankment, Vauxhall_OLD",22,1.5
"Albert Embankment, Vauxhall_OLD",23,1.0
"Albert Gardens, Stepney",0,1.32
"Albert Gardens, Stepney",1,1.2857142857142858
"Albert Gardens, Stepney",2,1.2222222222222223
"Albert Gardens, Stepney",3,1.2727272727272727
"Albert Gardens, Stepney",4,1.1403508771929824
"Albert Gardens, Stepney",5,1.1555555555555554
"Albert Gardens, Stepney",6,1.1818181818181819
"Albert Gardens, Stepney",7,4.021978021978022
"Albert Gardens, Stepney",8,3.1333333333333333
"Albert Gardens, Stepney",9,2.4488188976377954
"Albert Gardens, Stepney",10,1.7598039215686274
"Albert Gardens, Stepney",11,2.08984375
"Albert Gardens, Stepney",12,1.851063829787234
"Albert Gardens, Stepney",13,1.8611111111111112
"Albert Gardens, Stepney",14,1.8542713567839195
"Albert Gardens, Stepney",15,1.9237668161434978
"Albert Gardens, Stepney",16,1.878787878787879
"Albert Gardens, Stepney",17,2.049019607843137
"Albert Gardens, Stepney",18,1.9607843137254901
"Albert Gardens, Stepney",19,1.7727272727272727
"Albert Gardens, Stepney",20,1.4676258992805755
"Albert Gardens, Stepney",21,1.4814814814814814
"Albert Gardens, Stepney",22,2.0555555555555554
"Albert Gardens, Stepney",23,1.52
"Albert Gate, Hyde Park",0,1.5333333333333334
"Albert Gate, Hyde Park",1,2.625
"Albert Gate, Hyde Park",2,1.0
"Albert Gate, Hyde Park",3,1.0
"Albert Gate, Hyde Park",4,1.0
"Albert Gate, Hyde Park",5,1.1428571428571428
"Albert Gate, Hyde Park",6,1.2075471698113207
"Albert Gate, Hyde Park",7,1.7096774193548387
"Albert Gate, Hyde Park",8,3.0
"Albert Gate, Hyde Park",9,3.899193548387097
"Albert Gate, Hyde Park",10,4.684210526315789
"Albert Gate, Hyde Park",11,6.825278810408922
"Albert Gate, Hyde Park",12,9.273764258555133
"Albert Gate, Hyde Park",13,9.496350364963504
"Albert Gate, Hyde Park",14,9.586715867158672
"Albert Gate, Hyde Park",15,9.765799256505575
"Albert Gate, Hyde Park",16,9.469534050179211
"Albert Gate, Hyde Park",17,9.108695652173912
"Albert Gate, Hyde Park",18,9.309090909090909
"Albert Gate, Hyde Park",19,6.011627906976744
"Albert Gate, Hyde Park",20,4.497584541062802
"Albert Gate, Hyde Park",21,3.10625
"Albert Gate, Hyde Park",22,2.3557046979865772
"Albert Gate, Hyde Park",23,1.8571428571428572
"Albert Square, Stockwell",0,1.25
"Albert Square, Stockwell",1,1.1578947368421053
"Albert Square, Stockwell",2,1.0833333333333333
"Albert Square, Stockwell",3,1.1428571428571428
"Albert Square, Stockwell",4,1.0555555555555556
"Albert Square, Stockwell",5,1.1195652173913044
"Albert Square, Stockwell",6,1.617801047120419
"Albert Square, Stockwell",7,4.4212454212454215
"Albert Square, Stockwell",8,7.265232974910394
"Albert Square, Stockwell",9,2.527659574468085
"Albert Square, Stockwell",10,1.766990291262136
"Albert Square, Stockwell",11,1.6305732484076434
"Albert Square, Stockwell",12,1.9754901960784315
"Albert Square, Stockwell",13,1.7627118644067796
"Albert Square, Stockwell",14,1.5403726708074534
"Albert Square, Stockwell",15,1.8440860215053763
"Albert Square, Stockwell",16,1.922279792746114
"Albert Square, Stockwell",17,2.3347826086956522
"Albert Square, Stockwell",18,2.5062240663900415
"Albert Square, Stockwell",19,2.0995475113122173
"Albert Square, Stockwell",20,1.7430167597765363
"Albert Square, Stockwell",21,1.4298245614035088
"Albert Square, Stockwell",22,1.3191489361702127
"Albert Square, Stockwell",23,1.2105263157894737
"Albert Street, Camden Town",0,1.0
"Albert Street, Camden Town",1,1.6666666666666667
"Albert Street, Camden Town",2,1.0
"Albert Street, Camden Town",4,1.0
"Albert Street, Camden Town",5,1.0
"Albert Street, Camden Town",6,1.0
"Albert Street, Camden Town",7,1.2
"Albert Street, Camden Town",8,2.4857142857142858
"Albert Street, Camden Town",9,2.0
"Albert Street, Camden Town",10,1.5217391304347827
"Albert Street, Camden Town",11,1.631578947368421
"Albert Street, Camden Town",12,1.565217391304348
"Albert Street, Camden Town",13,1.4230769230769231
"Albert Street, Camden Town",14,1.8181818181818181
"Albert Street, Camden Town",15,1.4375
"Albert Street, Camden Town",16,1.4375
"Albert Street, Camden Town",17,1.2666666666666666
"Albert Street, Camden Town",18,1.3125
"Albert Street, Camden Town",19,1.375
"Albert Street, Camden Town",20,1.2
"Albert Street, Camden Town",21,1.0833333333333333
"Albert Street, Camden Town",22,1.2142857142857142
"Albert Street, Camden Town",23,1.2857142857142858
"Alderney Street, Pimlico",0,1.2692307692307692
"Alderney Street, Pimlico",1,1.0
"Alderney Street, Pimlico",2,1.3
"Alderney Street, Pimlico",3,1.0769230769230769
"Alderney Street, Pimlico",4,1.0
"Alderney Street, Pimlico",5,1.1702127659574468
"Alderney Street, Pimlico",6,2.901098901098901
"Alderney Street, Pimlico",7,4.978260869565218
"Alderney Street, Pimlico",8,5.134057971014493
"Alderney Street, Pimlico",9,2.116822429906542
"Alderney Street, Pimlico",10,1.9466019417475728
"Alderney Street, Pimlico",11,2.2232142857142856
"Alderney Street, Pimlico",12,2.2103004291845494
"Alderney Street, Pimlico",13,2.3430962343096233
"Alderney Street, Pimlico",14,2.3514644351464433
"Alderney Street, Pimlico",15,1.9244444444444444
"Alderney Street, Pimlico",16,2.6528301886792454
"Alderney Street, Pimlico",17,2.624505928853755
"Alderney Street, Pimlico",18,2.8203125
"Alderney Street, Pimlico",19,3.0083333333333333
"Alderney Street, Pimlico",20,2.204301075268817
"Alderney Street, Pimlico",21,2.0878048780487806
"Alderney Street, Pimlico",22,1.5945945945945945
"Alderney Street, Pimlico",23,1.3132530120481927
"Aldersgate Street, Barbican",0,1.309090909090909
"Aldersgate Street, Barbican",1,1.3846153846153846
"Aldersgate Street, Barbican",2,1.2608695652173914
"Aldersgate Street, Barbican",3,1.2
"Aldersgate Street, Barbican",4,1.2307692307692308
"Aldersgate Street, Barbican",5,1.0
"Aldersgate Street, Barbican",6,1.7431192660550459
"Aldersgate Street, Barbican",7,2.67680608365019
"Aldersgate Street, Barbican",8,7.589928057553957
"Aldersgate Street, Barbican",9,4.930402930402931
"Aldersgate Street, Barbican",10,2.6588235294117646
"Aldersgate Street, Barbican",11,2.34297520661157
"Aldersgate Street, Barbican",12,2.808
"Aldersgate Street, Barbican",13,2.974169741697417
"Aldersgate Street, Barbican",14,2.626923076923077
"Aldersgate Street, Barbican",15,3.0330882352941178
"Aldersgate Street, Barbican",16,3.7218045112781954
"Aldersgate Street, Barbican",17,7.108303249097473
"Aldersgate Street, Barbican",18,8.12
"Aldersgate Street, Barbican",19,4.445255474452555
"Aldersgate Street, Barbican",20,3.0595238095238093
"Aldersgate Street, Barbican",21,2.3661971830985915
"Aldersgate Street, Barbican",22,1.7426900584795322
"Aldersgate Street, Barbican",23,1.6643356643356644
"Alfreda Street, Battersea Park",0,1.1481481481481481
"Alfreda Street, Battersea Park",1,1.4210526315789473
"Alfreda Street, Battersea Park",2,1.1666666666666667
"Alfreda Street, Battersea Park",3,1.2
"Alfreda Street, Battersea Park",4,1.09375
"Alfreda Street, Battersea Park",5,1.21301775147929
"Alfreda Street, Battersea Park",6,1.8068669527896997
"Alfreda Street, Battersea Park",7,3.6954887218045114
"Alfreda Street, Battersea Park",8,4.305147058823529
"Alfreda Street, Battersea Park",9,2.1382488479262673
"Alfreda Street, Battersea Park",10,1.7012987012987013
"Alfreda Street, Battersea Park",11,1.6097560975609757
"Alfreda Street, Battersea Park",12,1.835164835164835
"Alfreda Street, Battersea Park",13,1.6838709677419355
"Alfreda Street, Battersea Park",14,1.6035502958579881
"Alfreda Street, Battersea Park",15,1.8098159509202454
"Alfreda Street, Battersea Park",16,1.6623376623376624
"Alfreda Street, Battersea Park",17,1.939252336448598
"Alfreda Street, Battersea Park",18,2.2622222222222224
"Alfreda Street, Battersea Park",19,2.0432432432432432
"Alfreda Street, Battersea Park",20,1.7046979865771812
"Alfreda Street, Battersea Park",21,1.3916666666666666
"Alfreda Street, Battersea Park",22,1.3370786516853932
"Alfreda Street, Battersea Park",23,1.2615384615384615
"All Saints Church, Portobello",0,1.510204081632653
"All Saints Church, Portobello",1,1.4767441860465116
"All Saints Church, Portobello",2,1.1578947368421053
"All Saints Church, Portobello",3,1.0
"All Saints Church, Portobello",4,1.2
"All Saints Church, Portobello",5,1.09375
"All Saints Church, Portobello",6,1.8190954773869348
"All Saints Church, Portobello",7,3.698529411764706
"All Saints Church, Portobello",8,6.7086330935251794
"All Saints Church, Portobello",9,3.365079365079365
"All Saints Church, Portobello",10,2.3480392156862746
"All Saints Church, Portobello",11,2.436619718309859
"All Saints Church, Portobello",12,2.268181818181818
"All Saints Church, Portobello",13,2.584474885844749
"All Saints Church, Portobello",14,2.770334928229665
"All Saints Church, Portobello",15,2.6491228070175437
"All Saints Church, Portobello",16,2.595918367346939
"All Saints Church, Portobello",17,2.76734693877551
"All Saints Church, Portobello",18,2.8
"All Saints Church, Portobello",19,2.28643216080402
"All Saints Church, Portobello",20,1.8146067415730338
"All Saints Church, Portobello",21,1.6390977443609023
"All Saints Church, Portobello",22,1.3738317757009346
"All Saints Church, Portobello",23,1.5168539325842696
"All Saints' Road, Portobello",0,1.380952380952381
