name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London, England, United Kingdom",2024-01-03T11:00:00,11.8,11.8,6.9,71.48,0,0,,0,0,26.2,13.9,236,989,90,6.2,197,0.7,2,,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T12:00:00,11.1,11.1,7.1,76.42,0,0,,0,0,27.7,9.7,264,988.9,67.7,6.2,16,0.1,0,,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T13:00:00,10.5,10.5,7.8,83.39,0,0,,0,0,25.9,11.9,250,988.4,90,6.2,67,0.2,1,,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T14:00:00,11.3,11.3,7.1,75.37,0,0,,0,0,24.2,15.9,261,989,65.5,11,49,0.2,0,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T15:00:00,11,11,6.5,73.81,0,0,,0,0,26.4,16.5,264,989.2,77.7,13.9,7,0,0,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T16:00:00,10.6,10.6,6.4,74.8,0.001,100,rain,0,0,15,12.4,286,990.6,77.7,5.1,0,0,0,,"Rain, Partially cloudy",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T17:00:00,10.5,10.5,6.8,77.9,0,0,,0,0,20.8,14.1,257,991.6,80.8,9.4,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T18:00:00,9.6,6.9,7.5,86.76,0.407,100,rain,0,0,20.8,12.7,264,993.1,96.2,9.3,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T19:00:00,9.3,6.6,7.6,89.11,0.795,100,rain,0,0,19.7,12.3,268,994.1,96.2,9,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T20:00:00,8.8,5.8,7.6,92.17,0.596,100,rain,0,0,19.7,13.2,267,995.2,77.7,9.7,0,0,0,,"Rain, Partially cloudy",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T21:00:00,9.1,6.2,7.6,90.33,0,0,,0,0,18.3,12.8,270,996.2,100,9.7,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T22:00:00,9.1,6.4,7,86.7,0,0,,0,0,18.3,11.8,264,997.2,100,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T23:00:00,9.1,6.4,6.6,84.37,0,0,,0,0,18.3,11.7,260,998.2,80.8,10.1,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
